,sector,name,weight,price,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float / Ratio,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Interest,Perf Half Y,Book/sh,P/B,ROA,Target Price,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range,Perf YTD,Dividend,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend %,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR,Employees,Current Ratio,Sales Q/Q,Oper. Margin,RSI (14),Volatility,Optionable,Debt/Eq,EPS Q/Q,Profit Margin,Rel Volume,Prev Close,Shortable,LT Debt/Eq,Earnings,Payout,Avg Volume,Price,Recom,SMA20,SMA50,SMA200,Volume,Change,cedear
VICI,Real Estate,VICI Properties Inc,0.095311,32.48,S&P500,25.93,1.25,0.36%,1.00B,3.54%,31.82B,13.27,2.45,0.00%,999.84M,-4.78%,1.12B,3.65,0.59,98.60%,2.80% / 4.32,0.28%,2.60B,12.23,-27.70%,-4.64%,28.03M,8.84%,22.76,1.43,3.30%,37.68,14.16%,0.21,152.30,7.10%,5.50%,26.42 - 35.69,0.28%,1.56,44.04,48.40%,4.40%,-8.97%,0.97,4.80%,-,69.20%,99.10%,22.98%,0.71,23,-,100.90%,61.90%,52.79,1.61% 2.27%,Yes,0.66,41.50%,43.00%,1.02,32.62,Yes,0.66,May 01 AMC,119.30%,6.48M,32.49,1.70,1.76%,-2.11%,-0.25%,"6,581,891",-0.40%,0
KEYS,Information Technology,Keysight Technologies Inc,0.084177,160.0,S&P500,25.31,6.37,0.60%,178.00M,3.42%,28.09B,18.89,8.53,-8.01%,177.42M,0.86%,1.16B,3.01,1.95,87.70%,2.44% / 3.70,-5.85%,5.55B,5.06,29.20%,-3.17%,4.33M,2.36%,24.74,6.51,14.40%,190.75,1.96%,12.78,12.61,8.40%,28.40%,127.93 - 189.45,-5.85%,-,25.93,61.60%,19.70%,-14.98%,1.09,-,2.40,11.20%,63.60%,25.90%,3.35,15000,3.10,10.50%,25.00%,52.11,1.36% 1.88%,Yes,0.41,16.10%,20.80%,0.58,161.48,Yes,0.41,Feb 21 AMC,0.00%,1.17M,161.07,2.00,2.86%,-4.17%,-2.44%,"682,891",-0.25%,0
PEG,Utilities,Public Service Enterprise Group Inc,0.090577,61.01,S&P500,29.78,2.06,0.10%,498.77M,3.53%,30.30B,16.55,3.70,-1.54%,498.29M,1.56%,1.03B,12.41,0.67,72.90%,0.89% / 1.79,0.07%,9.80B,3.09,260.10%,0.31%,4.45M,9.03%,27.57,2.22,2.10%,65.69,-12.41%,0.94,65.15,2.40%,7.60%,52.51 - 75.61,0.07%,2.28,-,4.70%,4.10%,-18.91%,0.58,3.72%,0.50,1.50%,-,16.76%,1.38,12525,0.60,2.70%,14.10%,56.77,1.74% 2.44%,Yes,1.48,78.10%,10.50%,1.39,62.45,Yes,1.20,Feb 21 BMO,104.30%,2.49M,61.31,2.20,4.01%,1.95%,0.46%,"3,469,194",-1.83%,0
RMD,Health Care,ResMed Inc.,0.093238,266.77,S&P500,39.84,5.50,0.70%,146.70M,1.55%,31.75B,30.06,7.29,-9.60%,144.57M,-0.29%,809.50M,3.91,1.65,67.40%,0.90% / 2.02,5.30%,3.76B,8.44,63.60%,-0.39%,1.30M,0.40%,25.48,8.60,14.80%,257.57,-9.62%,1.75,125.40,10.20%,23.40%,189.40 - 253.67,5.30%,1.76,-,17.10%,19.80%,-13.60%,0.48,0.80%,1.80,11.60%,56.70%,15.72%,4.01,8160,3.20,15.50%,27.80%,58.71,1.26% 1.86%,Yes,0.48,11.20%,21.50%,0.65,218.99,Yes,0.48,Jan 26 AMC,31.10%,645.42K,219.17,2.20,3.29%,0.84%,-0.66%,"421,121",0.08%,0
SBAC,Real Estate,SBA Communications Corp. Class A,0.082056,254.91,S&P500,60.48,4.22,0.40%,107.98M,1.52%,27.15B,43.50,5.86,0.00%,106.59M,-2.04%,461.40M,4.06,1.25,97.20%,1.37% / 1.75,-9.02%,2.63B,10.31,97.40%,-0.21%,1.46M,-10.41%,-48.86,-,4.50%,324.13,-25.88%,1.36,187.21,14.89%,-8.60%,236.20 - 379.99,-9.02%,3.40,35.51,30.40%,11.30%,-32.89%,0.50,1.33%,0.70,8.80%,74.60%,7.97%,7.36,1834,0.70,15.30%,35.10%,47.24,1.64% 3.04%,Yes,-,113.90%,17.50%,0.98,261.07,Yes,-,Feb 21 AMC,66.50%,831.92K,255.03,2.10,1.13%,-5.69%,-13.25%,"814,006",-2.31%,0
KDP,Consumer Staples,Keurig Dr Pepper Inc.,0.086797,35.36,"NDX, S&P 500 NDQ100",35.11,1.01,37.20%,1.42B,0.83%,49.56B,18.42,1.92,-5.61%,886.21M,2.43%,1.44B,5.34,0.42,54.10%,1.22% / 1.42,-0.76%,14.06B,3.53,-33.20%,-0.97%,10.80M,-1.20%,17.75,1.99,2.80%,39.61,-6.62%,0.38,92.64,6.57%,5.70%,33.35 - 41.31,-0.76%,0.80,35.30,-25.00%,5.50%,-14.33%,0.61,2.26%,0.30,16.00%,52.20%,6.12%,0.48,28000,0.50,12.10%,16.90%,55.55,0.70% 1.36%,Yes,0.51,-46.20%,10.20%,1.17,35.28,Yes,0.47,Feb 23 BMO,76.50%,7.63M,35.39,2.40,1.55%,1.00%,-3.66%,"8,911,427",0.31%,0
WEC,Utilities,WEC Energy Group Inc,0.086898,92.83,S&P500,21.17,4.45,0.14%,315.40M,1.58%,29.63B,19.24,4.90,-1.15%,315.03M,5.22%,1.41B,3.71,0.95,76.50%,1.36% / 3.13,0.54%,9.60B,3.09,8.40%,-0.09%,4.29M,5.41%,36.07,2.61,3.50%,102.90,-5.55%,0.09,1025.23,5.70%,12.40%,80.82 - 108.39,0.54%,3.12,-,7.20%,5.60%,-13.03%,0.40,3.31%,0.50,4.60%,54.60%,16.64%,1.97,7022,0.70,16.20%,20.00%,56.78,1.42% 2.30%,Yes,1.52,12.90%,14.70%,1.12,94.79,Yes,1.30,Feb 02 BMO,65.20%,1.37M,94.27,2.50,2.38%,2.45%,-1.54%,"1,538,324",-0.55%,0
DLTR,Consumer Discretionary,Dollar Tree Inc.,0.087766,147.95,"NDX, S&P 500 NDQ100",20.55,7.20,0.10%,221.10M,6.69%,32.12B,18.67,7.93,4.27%,218.28M,-0.76%,1.62B,1.30,1.52,-,2.92% / 2.79,4.65%,28.33B,1.13,24.30%,1.32%,6.38M,8.75%,39.58,3.74,7.10%,160.40,-7.58%,2.96,49.97,15.86%,19.20%,124.76 - 177.19,4.65%,-,19.95,8.30%,14.30%,-16.47%,0.67,-,0.20,5.00%,31.50%,18.64%,3.74,65025,1.50,9.00%,7.90%,60.67,2.25% 2.54%,Yes,0.00,2.80%,5.70%,1.48,143.55,Yes,0.39,Mar 01 BMO,0.00%,2.29M,148.01,2.50,5.41%,1.94%,-1.43%,"3,392,849",3.11%,0
ANET,Information Technology,Arista Networks Inc.,0.12094,166.27,S&P500,39.23,4.28,0.10%,306.16M,-0.13%,49.75B,25.89,6.48,-63.26%,234.13M,19.24%,1.35B,1.97,1.41,67.90%,1.41% / 1.27,38.23%,4.38B,11.36,62.30%,1.48%,3.31M,48.59%,15.96,10.51,21.80%,171.27,20.69%,10.19,16.45,19.90%,31.00%,89.11 - 171.44,38.23%,-,111.00,23.30%,26.60%,-2.16%,1.25,-,3.20,21.60%,61.10%,88.23%,4.65,3612,4.30,54.70%,34.90%,70.06,2.69% 3.00%,Yes,0.00,81.00%,30.90%,1.24,167.86,Yes,0.00,Feb 13 AMC,0.00%,2.61M,167.74,2.20,5.86%,17.35%,35.81%,"3,217,723",-0.07%,0
ROK,Industrials,Rockwell Automation Inc.,0.097659,291.04,S&P500,31.56,9.23,0.20%,114.80M,4.63%,32.76B,23.65,12.31,-14.03%,114.65M,-3.73%,1.07B,2.55,3.03,82.60%,2.46% / 4.00,13.09%,7.88B,4.16,-31.20%,-1.33%,2.82M,35.41%,25.39,11.47,9.90%,281.57,4.02%,4.20,69.35,12.40%,40.20%,190.08 - 309.36,13.09%,4.72,132.10,4.60%,14.00%,-5.84%,1.43,1.62%,0.70,4.20%,40.20%,53.25%,7.18,26000,1.00,6.70%,16.00%,54.84,1.30% 2.43%,Yes,1.38,61.30%,13.60%,1.04,293.45,Yes,0.98,Jan 26 BMO,48.90%,704.48K,291.29,2.80,1.77%,1.32%,15.25%,"729,554",-0.74%,0
PPG,Materials,PPG Industries Inc.,0.090925,134.0,S&P500,32.30,4.34,0.28%,235.80M,11.14%,32.03B,18.04,7.76,-11.37%,234.40M,1.88%,1.03B,2.82,1.85,82.50%,0.93% / 1.54,11.37%,17.65B,1.81,-27.00%,0.18%,2.19M,26.52%,27.96,5.01,4.80%,139.26,6.84%,5.04,27.76,11.46%,16.40%,107.06 - 138.10,11.37%,2.48,-,-5.80%,8.30%,1.40%,1.17,1.77%,1.00,3.70%,37.10%,30.81%,3.56,52000,1.50,-0.10%,8.10%,68.45,1.80% 2.48%,Yes,1.03,-10.00%,5.80%,2.60,133.58,Yes,0.99,Jan 19 AMC,55.70%,1.43M,140.04,2.50,10.01%,8.50%,12.54%,"3,700,858",4.84%,0
OKE,Energy,ONEOK Inc.,0.082541,65.38,S&P500,16.95,3.84,0.61%,447.78M,7.25%,28.63B,13.41,4.85,0.00%,444.24M,-4.11%,1.72B,1.36,1.03,69.80%,2.08% / 3.60,-0.97%,22.39B,1.28,14.60%,1.66%,9.23M,26.97%,14.50,4.49,7.10%,72.22,-7.89%,0.50,130.03,12.50%,27.60%,50.50 - 75.07,-0.97%,3.82,886.49,16.80%,11.30%,-13.33%,1.63,5.87%,0.60,13.00%,20.00%,28.83%,1.83,2966,0.80,-7.20%,12.50%,55.87,1.56% 2.90%,Yes,2.10,27.60%,7.70%,1.26,63.54,Yes,1.96,Feb 27 AMC,97.20%,2.56M,65.06,2.60,3.81%,-1.48%,4.87%,"3,229,626",2.39%,0
CTSH,Information Technology,Cognizant Technology Solutions Corporation Class A,0.091283,61.41,"NDX, S&P 500 NDQ100",13.90,4.42,0.10%,512.00M,4.00%,30.68B,12.59,4.88,-0.66%,507.88M,-1.87%,2.29B,2.52,1.07,93.50%,1.21% / 1.32,7.31%,19.43B,1.58,9.00%,-0.43%,6.17M,6.84%,24.04,2.55,13.10%,65.55,-31.56%,5.00,12.27,5.50%,19.00%,51.33 - 90.51,7.31%,1.16,18.35,4.40%,17.30%,-32.20%,1.11,1.89%,2.20,5.60%,35.90%,19.56%,1.24,355300,2.20,1.30%,15.30%,55.17,1.28% 2.04%,Yes,0.05,-6.90%,11.80%,0.77,60.93,Yes,0.05,Feb 02 AMC,24.40%,4.66M,61.37,3.10,3.41%,-2.62%,-1.94%,"3,573,862",0.72%,0
BKR,Energy,Baker Hughes Company Class A,0.083988,29.8,"NDX, S&P 500 NDQ100",-,-0.60,0.17%,1.01B,9.72%,30.13B,14.48,2.07,-17.76%,1.01B,-7.34%,-602.00M,-,0.34,98.63%,1.63% / 2.42,1.29%,21.16B,1.42,-129.10%,0.62%,16.47M,42.70%,14.41,2.08,-1.80%,37.05,-17.85%,3.02,9.89,49.30%,-4.00%,20.42 - 38.65,1.29%,0.76,174.16,-4.90%,0.60%,-22.62%,1.47,2.54%,0.90,4.20%,20.90%,46.51%,0.97,55000,1.30,7.70%,3.50%,57.19,1.92% 3.14%,Yes,0.46,-44.10%,-2.80%,1.27,28.86,Yes,0.42,Apr 19 BMO,-,6.81M,29.91,2.00,5.22%,-1.08%,7.93%,"8,614,952",3.64%,0
ES,Utilities,Eversource Energy,0.079351,83.1,S&P500,19.13,4.05,0.10%,348.79M,2.04%,26.94B,16.57,4.67,-1.54%,347.02M,2.61%,1.40B,2.85,0.90,82.00%,1.27% / 2.45,-7.67%,12.22B,2.21,14.20%,0.33%,4.40M,-0.71%,44.36,1.75,2.80%,88.54,-12.22%,1.08,71.92,6.70%,9.30%,70.54 - 94.63,-7.67%,2.70,-,5.40%,4.50%,-18.20%,0.48,3.49%,0.60,9.50%,-,9.74%,1.71,9626,0.60,15.50%,18.00%,53.51,1.50% 2.37%,Yes,1.49,3.10%,11.50%,0.92,78.26,Yes,1.30,Feb 13 AMC,62.90%,1.79M,77.41,2.40,2.42%,-0.44%,-5.79%,"1,648,627",-1.09%,0
KR,Consumer Staples,Kroger Co.,0.093489,49.68,S&P500,16.33,3.06,0.70%,715.00M,2.69%,35.61B,11.09,4.50,-3.93%,711.31M,8.61%,2.22B,2.04,1.44,81.30%,2.61% / 3.43,12.02%,148.26B,0.24,40.70%,-0.01%,18.55M,14.15%,14.04,3.56,4.50%,52.16,-12.95%,1.42,35.08,8.00%,22.80%,41.81 - 62.78,12.02%,1.04,48.25,23.40%,14.80%,-20.45%,0.45,2.08%,0.30,3.90%,21.40%,19.43%,0.84,430000,0.70,5.40%,2.80%,71.50,1.07% 1.75%,Yes,1.33,-17.90%,1.50%,1.13,49.37,Yes,1.20,Mar 02 BMO,30.30%,5.42M,49.94,2.60,4.35%,9.05%,7.39%,"6,117,547",1.15%,0
DLR,Real Estate,Digital Realty Trust Inc.,0.081821,93.5,S&P500,81.01,1.15,0.11%,289.40M,-0.72%,25.84B,73.54,1.27,-3.32%,287.34M,-11.96%,337.00M,-,0.24,98.40%,4.79% / 6.17,-6.93%,4.69B,5.51,-80.90%,1.01%,13.77M,-5.91%,58.23,1.60,0.90%,119.00,-34.19%,0.51,182.26,-,2.00%,85.76 - 153.50,-6.93%,4.88,-,2.70%,1.50%,-39.21%,0.55,5.23%,-,13.80%,60.10%,8.82%,3.69,3412,-,11.00%,11.50%,39.22,3.96% 3.63%,Yes,0.98,-100.60%,7.20%,1.91,98.31,Yes,0.98,Feb 16 AMC,409.00%,2.23M,93.32,2.40,-6.25%,-11.81%,-16.16%,"4,271,267",-5.08%,0
STT,Financials,State Street Corporation,0.076904,73.87,S&P500,10.50,7.19,0.10%,359.14M,2.82%,25.76B,7.97,9.46,-9.36%,343.29M,-16.55%,2.66B,1.24,2.19,91.60%,1.45% / 1.64,-2.72%,4.09B,6.30,0.00%,-0.58%,4.97M,24.09%,64.64,1.17,0.90%,93.93,-13.38%,397.20,0.19,8.49%,11.20%,58.62 - 94.74,-2.72%,2.52,2.49,4.20%,5.20%,-20.35%,1.60,3.34%,-,7.30%,-,28.74%,2.55,42226,-,225.70%,61.70%,42.46,1.92% 3.15%,Yes,0.65,7.40%,65.10%,0.60,75.69,Yes,0.65,Apr 17 BMO,32.10%,3.03M,75.46,2.40,-1.90%,-11.21%,1.05%,"1,831,828",-0.30%,0
CEG,Utilities,Constellation Energy Corporation,0.074594,76.52,S&P500 NDQ100,-,-0.46,0.10%,327.00M,1.79%,24.56B,14.92,5.14,0.00%,326.25M,-2.99%,-151.00M,-,0.73,83.30%,1.92% / 2.85,-11.12%,22.64B,1.08,-134.70%,-0.00%,6.27M,-7.90%,33.04,2.32,-0.30%,97.92,36.21%,3.72,20.60,21.70%,-1.40%,52.64 - 97.89,-11.12%,1.13,-,-,-2.90%,-21.73%,-,1.47%,1.10,-,30.20%,45.55%,2.14,11696,1.20,37.40%,2.90%,46.81,2.23% 2.63%,Yes,0.50,-130.90%,-0.70%,0.86,78.50,Yes,0.41,Feb 16 BMO,-,2.20M,76.62,2.20,-0.19%,-4.62%,-4.49%,"1,894,927",-2.39%,0
DHI,Consumer Discretionary,D.R. Horton Inc.,0.088859,98.06,S&P500,6.08,16.13,0.60%,344.20M,2.97%,32.85B,10.43,9.41,-1.84%,302.33M,5.76%,5.67B,-,2.15,87.30%,4.47% / 4.57,10.07%,33.68B,0.98,44.60%,0.09%,13.52M,45.69%,58.55,1.68,19.50%,109.40,31.69%,7.74,12.68,-9.70%,30.50%,59.25 - 104.14,10.07%,1.00,30.48,43.20%,23.20%,-5.78%,1.53,1.02%,-,18.90%,30.90%,65.60%,2.38,13237,-,2.90%,22.00%,58.60,1.69% 2.62%,Yes,0.28,-12.80%,16.80%,1.34,97.69,Yes,0.18,Apr 20 BMO,5.70%,2.96M,98.12,2.40,2.61%,2.44%,19.77%,"3,955,866",0.44%,0
AWK,Utilities,American Water Works Company Inc.,0.082291,144.08,S&P500,32.28,4.50,0.20%,182.00M,2.65%,28.19B,28.30,5.14,0.00%,180.95M,4.11%,820.00M,3.90,0.96,89.00%,1.95% / 2.87,-4.58%,3.79B,7.44,-35.10%,0.87%,3.52M,11.74%,42.27,3.44,3.10%,159.22,-12.14%,0.44,331.69,8.28%,10.80%,122.77 - 173.87,-4.58%,2.62,-,7.90%,5.50%,-16.35%,0.57,1.80%,0.40,2.50%,-,18.47%,3.27,6500,0.40,-2.10%,34.10%,56.28,1.68% 2.45%,Yes,1.61,-77.20%,21.60%,0.47,146.49,Yes,1.42,Feb 15 AMC,57.00%,1.23M,145.44,2.50,3.90%,-0.36%,-1.28%,"582,478",-0.72%,0
VRSK,Industrials,Verisk Analytics Inc,0.087228,191.37,"NDX, S&P 500 NDQ100",29.39,6.52,0.30%,156.03M,3.42%,29.50B,30.05,6.38,-4.18%,153.15M,2.49%,1.04B,2.99,1.38,93.80%,7.55% / 10.68,8.59%,2.50B,11.81,76.40%,-3.23%,11.56M,12.34%,11.21,17.09,12.90%,197.00,-10.74%,0.73,262.20,9.84%,43.60%,156.05 - 222.11,8.59%,1.36,50.07,18.90%,21.60%,-13.75%,0.85,0.71%,0.40,3.10%,67.00%,22.77%,3.86,7000,0.40,0.00%,56.30%,64.85,1.45% 2.08%,Yes,2.14,87.10%,38.20%,0.72,191.86,Yes,1.34,Feb 28 AMC,20.70%,1.08M,191.58,2.40,3.79%,5.83%,6.13%,"783,436",-0.15%,0
GPN,Information Technology,Global Payments Inc.,0.080598,105.16,S&P500,241.95,0.43,0.20%,265.53M,6.15%,27.22B,8.93,11.78,0.44%,260.24M,-6.69%,111.50M,16.00,2.59,90.80%,1.28% / 1.83,5.97%,8.98B,3.03,-87.70%,0.61%,3.33M,-2.59%,84.00,1.25,0.30%,141.43,-23.09%,7.72,13.63,15.12%,0.50%,92.27 - 146.71,5.97%,1.00,20.10,-27.30%,1.30%,-28.26%,1.00,0.95%,0.90,17.70%,57.90%,14.07%,3.15,25000,0.90,2.70%,7.10%,52.60,1.99% 3.06%,Yes,0.64,29.20%,1.20%,0.80,105.24,Yes,0.55,Feb 10 BMO,225.60%,1.82M,105.25,1.90,3.17%,-3.36%,-6.11%,"1,454,577",0.01%,0
ON,Information Technology,ON Semiconductor Corporation,0.103276,81.09,S&P500,19.09,4.25,0.10%,432.30M,7.23%,34.84B,15.77,5.15,-2.52%,430.73M,2.79%,1.90B,1.09,1.06,-,6.30% / 3.78,30.09%,8.33B,4.18,86.80%,0.87%,27.13M,30.18%,14.32,5.67,17.30%,92.12,29.60%,6.80,11.94,17.47%,34.20%,44.76 - 87.55,30.09%,-,21.40,38.20%,20.80%,-7.32%,1.76,-,2.00,8.50%,49.00%,81.28%,3.35,31000,2.80,13.90%,29.10%,53.70,3.44% 4.17%,Yes,0.52,41.40%,22.80%,0.62,82.32,Yes,0.50,Feb 06 BMO,0.00%,7.18M,81.14,2.10,2.07%,2.84%,19.21%,"4,430,578",-1.43%,0
FAST,Industrials,Fastenal Company,0.089636,54.37,"NDX, S&P 500 NDQ100",28.51,1.89,0.10%,571.01M,2.83%,30.10B,25.37,2.12,-1.33%,569.74M,0.28%,1.09B,4.50,0.52,79.30%,2.34% / 4.02,13.76%,6.98B,4.31,17.80%,-0.64%,13.36M,16.92%,5.54,9.72,23.80%,50.59,-9.38%,0.41,130.80,6.33%,34.40%,43.73 - 60.72,13.76%,1.40,538.40,14.50%,29.60%,-11.35%,1.18,2.60%,1.80,9.70%,46.10%,23.10%,1.08,19854,4.00,10.70%,20.80%,60.38,1.51% 2.09%,Yes,0.18,7.10%,15.60%,0.68,53.94,Yes,0.11,Apr 13 BMO,65.50%,3.33M,53.83,3.10,2.58%,3.37%,7.28%,"2,267,171",-0.20%,0
WBA,Consumer Staples,Walgreens Boots Alliance Inc.,0.072143,35.43,"DJIA, NDX, S&P 500 NDQ100",-,-3.64,0.30%,862.60M,7.65%,30.64B,7.38,4.81,-0.65%,714.48M,-1.75%,-3144.00M,-,1.10,59.80%,4.46% / 4.51,-5.09%,133.29B,0.23,117.60%,-0.06%,31.83M,12.93%,24.57,1.44,-3.30%,40.51,-20.80%,2.13,16.65,2.09%,-13.50%,30.39 - 47.28,-5.09%,1.92,-,5.80%,4.60%,-24.99%,0.71,5.41%,0.30,2.30%,20.20%,16.68%,0.82,200000,0.60,3.30%,-6.00%,59.95,2.12% 2.45%,Yes,0.66,-20.20%,-2.40%,1.37,34.58,Yes,0.46,Mar 28 BMO,38.21%,7.05M,35.46,2.90,5.58%,0.58%,-3.96%,"9,670,641",2.54%,1
ABC,Health Care,AmerisourceBergen Corporation,0.075375,160.95,S&P500,19.70,8.24,0.20%,204.03M,3.57%,32.67B,12.88,12.60,-97.96%,162.29M,3.93%,1.73B,2.67,2.81,72.40%,2.10% / 2.57,-2.07%,241.81B,0.14,8.90%,0.01%,3.41M,19.91%,-0.87,-,3.00%,184.13,4.89%,-,-,7.38%,-,135.14 - 174.63,-2.07%,1.94,19.62,37.40%,34.50%,-7.07%,0.52,1.20%,0.50,9.30%,3.50%,20.08%,2.87,39000,0.90,5.40%,1.00%,64.69,1.25% 1.89%,Yes,-,9.30%,0.70%,0.77,160.11,Yes,-,Feb 01 BMO,22.40%,1.32M,162.28,2.10,5.50%,3.19%,6.20%,"1,024,322",1.36%,0
WTW,Financials,Willis Towers Watson Public Limited Company,0.073089,263.0,S&P500,24.62,9.48,0.30%,109.00M,2.59%,24.51B,13.56,17.21,-10.49%,105.76M,-3.11%,1.05B,1.47,2.39,98.40%,0.80% / 1.56,-4.59%,8.87B,2.76,-43.60%,-0.47%,0.85M,16.13%,91.89,2.54,3.10%,269.53,-1.21%,-,-,16.77%,9.70%,187.89 - 258.93,-4.59%,3.36,80.36,14.80%,6.70%,-9.88%,0.76,1.44%,1.10,1.60%,-,24.20%,4.58,46600,1.10,0.60%,13.40%,51.86,1.36% 2.01%,Yes,0.47,22.10%,11.30%,1.50,232.38,Yes,0.45,Feb 09 BMO,35.70%,544.06K,233.35,2.50,1.63%,-2.50%,4.25%,"817,899",0.42%,0
ZBH,Health Care,Zimmer Biomet Holdings Inc.,0.078797,129.28,S&P500,92.85,1.38,0.08%,209.90M,1.62%,26.39B,16.92,7.57,-17.33%,209.70M,1.44%,290.20M,15.97,1.76,92.10%,1.60% / 2.34,0.42%,6.94B,3.80,-34.80%,-0.06%,3.35M,22.47%,57.27,2.24,1.10%,133.65,0.11%,1.82,70.24,5.82%,1.90%,100.39 - 135.05,0.42%,0.96,29.47,-12.30%,3.30%,-5.19%,1.00,0.75%,1.00,-2.30%,70.90%,27.54%,2.14,18000,1.90,2.70%,10.00%,57.74,1.30% 1.63%,Yes,0.47,-137.00%,3.30%,0.60,129.20,Yes,0.43,Feb 03 BMO,86.90%,1.43M,128.04,2.90,2.15%,1.83%,10.00%,"856,377",-0.90%,0
IT,Information Technology,Gartner Inc.,0.074637,324.44,S&P500,32.53,9.98,2.70%,79.16M,3.92%,25.19B,29.68,10.94,-3.79%,76.57M,-2.73%,807.80M,8.24,2.37,94.70%,1.71% / 2.89,-3.40%,5.48B,4.60,8.20%,0.26%,1.31M,17.36%,2.88,112.75,11.80%,369.78,9.16%,9.00,36.09,3.95%,-,221.39 - 358.25,-3.40%,-,25.36,78.00%,32.70%,-9.36%,1.29,-,0.80,10.60%,69.10%,46.67%,7.15,19500,0.80,15.20%,20.10%,53.18,1.23% 2.41%,Yes,10.81,28.50%,14.80%,1.15,325.77,Yes,10.77,Feb 07 BMO,0.00%,451.71K,324.71,2.20,2.11%,-1.67%,5.79%,"519,706",-0.33%,0
IFF,Materials,International Flavors & Fragrances Inc.,0.068139,89.24,S&P500,-,-7.33,0.23%,255.00M,1.09%,22.75B,15.98,5.67,0.00%,254.38M,-3.39%,-1868.00M,-,1.31,93.30%,1.69% / 1.99,-13.58%,12.44B,1.83,-764.20%,-0.78%,4.30M,-0.25%,69.35,1.31,-5.00%,114.81,-31.01%,1.92,47.10,4.01%,-9.90%,81.53 - 135.17,-13.58%,3.24,-,-27.30%,-5.50%,-32.97%,1.10,3.58%,1.10,29.60%,33.40%,11.12%,2.35,24600,2.00,-6.20%,-10.70%,52.27,1.53% 2.46%,Yes,0.62,-128.10%,-15.00%,0.81,91.96,Yes,0.59,Feb 08 AMC,-,2.16M,90.60,2.30,4.95%,-5.90%,-13.55%,"1,744,695",-1.48%,1
RSG,Industrials,Republic Services Inc.,0.080442,136.02,S&P500,29.01,4.69,0.10%,316.50M,4.32%,42.90B,23.53,5.79,-1.33%,314.99M,5.58%,1.49B,3.23,1.30,95.80%,0.50% / 1.00,5.54%,13.51B,3.18,16.10%,-0.15%,1.58M,0.07%,30.60,4.45,5.40%,147.41,2.74%,0.45,299.19,8.97%,15.90%,119.72 - 149.17,5.54%,1.98,37.53,14.30%,9.50%,-8.74%,0.66,1.45%,0.70,6.10%,39.30%,13.71%,2.23,40000,0.70,19.50%,17.70%,66.34,1.19% 1.75%,Yes,1.22,11.30%,11.00%,0.58,135.22,Yes,1.17,Apr 27 AMC,40.60%,1.57M,136.13,2.20,4.18%,6.33%,2.17%,"906,390",0.67%,0
DFS,Financials,Discover Financial Services,0.076824,98.74,S&P500,6.40,15.45,0.50%,271.00M,4.69%,25.44B,7.07,13.98,-2.19%,257.47M,-13.90%,4.30B,-,3.54,85.00%,1.89% / 1.90,1.01%,12.86B,1.98,-13.20%,-1.41%,4.87M,8.69%,49.94,1.98,3.60%,117.15,-10.32%,34.40,2.87,-,33.20%,87.64 - 121.17,1.01%,2.40,4.06,21.10%,21.70%,-18.45%,1.44,2.43%,-,5.90%,-,12.75%,3.17,20200,-,40.60%,67.20%,45.92,1.65% 3.06%,Yes,1.49,2.30%,33.50%,0.63,98.84,Yes,1.20,Apr 19 AMC,14.80%,2.56M,98.82,2.50,-0.34%,-8.45%,-3.59%,"1,621,605",-0.02%,0
PCG,Utilities,PG&E Corporation,0.075665,16.65,S&P500,19.21,0.84,12.60%,1.99B,2.79%,39.24B,12.05,1.34,-38.36%,1.97B,-0.98%,1.80B,5.57,0.30,73.20%,3.25% / 4.37,-0.43%,21.68B,1.81,10.00%,11.51%,63.98M,29.52%,11.49,1.41,1.60%,18.70,35.59%,0.30,53.46,3.45%,8.20%,9.64 - 16.83,-0.43%,-,-,-24.70%,4.20%,-3.77%,1.13,-,0.80,4.80%,77.60%,67.95%,0.38,10,0.80,2.40%,8.50%,57.28,1.66% 2.55%,Yes,2.28,1.20%,8.30%,1.08,16.17,Yes,2.09,Feb 23 BMO,0.00%,14.64M,16.19,2.20,1.48%,2.48%,15.98%,"15,848,708",0.12%,0
CPRT,Industrials,Copart Inc.,0.093673,75.64,"NDX, S&P 500 NDQ100",33.62,2.25,10.15%,476.38M,3.78%,35.15B,28.72,2.63,-0.06%,427.93M,5.68%,1.08B,1.51,0.64,82.60%,0.81% / 1.80,23.96%,3.67B,9.57,16.00%,-0.10%,3.48M,41.88%,10.94,6.90,19.40%,80.71,20.32%,-,-,22.30%,22.70%,51.10 - 75.41,23.96%,-,44.38,22.10%,23.90%,0.09%,1.23,-,5.30,19.30%,43.90%,47.70%,1.37,9500,5.40,10.30%,37.00%,70.41,1.72% 1.86%,Yes,0.00,2.10%,29.50%,1.10,75.21,Yes,0.00,Feb 20 AMC,0.00%,1.94M,75.48,1.60,6.41%,8.74%,21.81%,"2,121,958",0.36%,0
