,sector,name,weight,price,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Book/sh,P/B,ROA,Target Price,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range,Perf YTD,Dividend,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend %,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR,Employees,Current Ratio,Sales Q/Q,Oper. Margin,RSI (14),Volatility,Optionable,Debt/Eq,EPS Q/Q,Profit Margin,Rel Volume,Prev Close,Shortable,LT Debt/Eq,Earnings,Payout,Avg Volume,Price,Recom,SMA20,SMA50,SMA200,Volume,Change,cedear
CCI,Real Estate,Crown Castle International Corp,0.220699,178.67,S&P500,50.08,3.56,0.40%,433.00M,-1.25%,74.20B,45.26,3.94,-1.06%,430.72M,3.94%,1.55B,3.85,0.97,92.30%,1.23%,-1.76%,6.75B,11.00,13.50%,0.10%,3.19,-1.81%,18.56,9.61,2.80%,196.72,-8.26%,0.75,237.83,13.00%,13.10%,153.70 - 209.87,-14.53%,5.88,-,22.90%,6.40%,-14.99%,0.60,3.30%,0.70,10.10%,69.50%,16.07%,3.83,5000,0.70,17.30%,27.50%,56.75,1.68% 2.14%,Yes,2.63,247.10%,16.20%,0.53,178.35,Yes,2.62,Jul 20 AMC,215.20%,1.66M,178.40,2.40,2.35%,2.04%,-1.58%,"879,313",0.03%,0
ISRG,Health Care,Intuitive Surgical Inc.,0.24871,240.0,S&P500 NDQ100,61.38,3.92,0.10%,358.10M,4.41%,84.02B,44.23,5.43,-23.41%,355.33M,15.15%,1.43B,9.52,1.12,87.30%,1.02%,2.71%,5.96B,14.09,58.60%,0.31%,1.73,-15.85%,33.57,7.16,10.70%,255.20,-29.26%,13.05,18.42,6.45%,12.10%,186.83 - 369.69,-33.11%,-,64.93,17.40%,13.90%,-34.99%,1.29,-,4.70,16.10%,68.20%,28.63%,7.73,9793,5.40,4.00%,28.50%,66.10,2.71% 3.29%,Yes,0.00,-40.30%,24.10%,0.88,242.46,Yes,0.00,Jul 21 AMC,0.00%,2.11M,240.32,2.10,9.63%,12.79%,-14.06%,"1,859,155",-0.88%,0
VRTX,Health Care,Vertex Pharmaceuticals Incorporated,0.200881,288.03,S&P500 NDQ100,30.35,9.49,0.20%,255.10M,2.72%,75.39B,18.61,15.48,-31.19%,253.94M,-2.09%,2.45B,3.82,3.48,94.00%,1.41%,8.13%,7.95B,9.49,-12.50%,-0.08%,2.16,18.17%,42.76,6.74,18.70%,298.01,41.89%,31.47,9.15,7.95%,24.70%,176.36 - 296.84,31.16%,-,30.76,85.00%,22.50%,-2.97%,0.46,-,4.60,34.80%,88.00%,63.32%,8.04,3900,4.80,21.60%,36.90%,56.80,3.16% 2.77%,Yes,0.05,18.50%,30.80%,1.44,274.85,Yes,0.05,Aug 04 AMC,0.00%,1.66M,288.03,2.10,1.27%,4.02%,18.91%,"2,397,669",4.80%,0
CME,Financials,CME Group Inc. Class A,0.204898,201.96,S&P500,25.13,8.04,0.20%,358.61M,1.34%,71.39B,24.01,8.42,-5.06%,357.84M,-3.18%,2.89B,3.33,1.95,89.00%,0.84%,-5.21%,4.84B,14.75,24.20%,0.04%,1.96,-16.14%,77.35,2.61,1.40%,226.00,-1.53%,6.10,33.12,7.56%,9.60%,183.15 - 256.94,-11.52%,4.00,831.03,10.00%,7.50%,-21.32%,0.41,1.98%,1.00,5.50%,-,10.37%,4.43,3480,1.00,7.40%,62.90%,50.64,1.99% 2.09%,Yes,0.13,22.10%,54.10%,0.77,200.03,Yes,0.13,Jul 27 BMO,49.30%,1.53M,202.15,2.60,0.11%,-0.04%,-8.24%,"1,174,462",1.06%,0
MMM,Industrials,3M Company,0.241102,147.7,DJIA S&P500,20.62,7.15,0.08%,571.00M,2.91%,81.40B,13.50,10.92,-10.31%,569.12M,13.35%,4.15B,51.54,2.69,67.50%,1.36%,-1.37%,35.09B,2.32,8.10%,0.00%,2.48,-10.33%,24.07,6.12,8.90%,146.02,-25.48%,5.40,27.28,0.40%,28.50%,125.60 - 202.77,-17.01%,5.96,89.84,4.40%,18.70%,-27.30%,0.96,4.04%,0.90,3.30%,44.50%,17.36%,3.02,95000,1.50,-2.80%,14.70%,70.90,1.95% 1.90%,Yes,1.18,-94.70%,11.80%,1.34,148.12,Yes,1.02,Jul 26 BMO,82.40%,3.13M,147.41,3.30,8.75%,7.74%,-5.86%,"4,185,302",-0.48%,1
BKNG,Consumer Discretionary,Booking Holdings Inc.,0.226045,1922.0,S&P500 NDQ100,155.68,12.37,0.20%,40.92M,-0.55%,75.84B,15.07,127.76,-15.93%,40.52M,7.79%,520.00M,3.04,17.60,93.60%,1.81%,-11.37%,12.51B,6.06,117.00%,-0.25%,1.69,-21.03%,106.86,18.01,2.20%,2556.93,-12.81%,-,-,51.17%,10.00%,1669.34 - 2715.66,-19.77%,-,17.34,-8.00%,11.40%,-29.12%,1.25,-,1.70,0.40%,-,15.31%,66.46,20300,1.70,136.20%,21.90%,54.68,3.31% 2.98%,Yes,2.23,-,4.20%,0.88,1947.25,Yes,1.93,Aug 03 AMC,0.00%,433.05K,1924.97,2.20,5.41%,-1.22%,-13.04%,"383,011",-1.14%,0
BDX,Health Care,Becton Dickinson and Company,0.204916,254.23,S&P500,40.09,6.34,0.82%,285.24M,4.06%,72.48B,20.73,12.26,-0.96%,282.74M,3.18%,1.83B,8.18,2.50,88.00%,1.24%,-2.08%,20.03B,3.62,152.40%,-0.30%,3.31,-3.63%,85.97,2.96,3.40%,273.18,7.28%,11.09,22.92,4.90%,7.60%,229.24 - 277.29,3.69%,3.48,78.19,8.80%,6.00%,-8.32%,0.60,1.37%,1.00,10.20%,45.80%,10.90%,5.13,75000,1.50,2.10%,12.20%,65.06,2.28% 1.81%,Yes,0.76,59.00%,9.10%,0.98,252.51,Yes,0.72,Aug 04 BMO,39.60%,1.06M,254.23,2.30,5.21%,3.61%,1.64%,"1,039,203",0.68%,0
NOC,Industrials,Northrop Grumman Corp.,0.199917,476.63,S&P500,13.30,35.92,0.30%,155.40M,-0.27%,69.11B,17.54,27.23,-2.91%,155.22M,-0.37%,5.67B,2.18,6.20,84.10%,1.11%,2.34%,34.96B,1.98,128.80%,0.32%,2.11,27.76%,87.84,5.44,13.50%,497.56,33.14%,8.08,59.12,6.10%,44.30%,344.89 - 492.30,23.39%,6.92,-,30.90%,14.30%,-2.99%,0.60,1.45%,1.20,7.60%,20.90%,38.48%,13.16,88000,1.30,-3.80%,10.40%,57.49,2.66% 2.57%,Yes,0.94,-5.60%,16.20%,0.64,478.04,Yes,0.94,Jul 28 BMO,17.80%,817.79K,477.59,2.40,3.02%,2.55%,13.05%,"520,649",-0.09%,0
GE,Industrials,General Electric Company,0.230812,74.36,S&P500,-,-4.02,0.20%,1.10B,0.61%,78.97B,16.22,4.58,3.51%,1.09B,18.03%,-4423.00M,-,0.59,73.20%,1.31%,-5.38%,74.48B,1.06,-159.20%,0.37%,2.11,-24.37%,31.52,2.36,-2.30%,89.88,-27.82%,18.77,3.96,45.90%,-12.30%,59.93 - 116.17,-21.29%,0.32,27.42,-19.90%,-5.80%,-35.99%,1.12,0.43%,0.80,-9.10%,25.70%,24.08%,2.24,168000,1.10,2.10%,-5.00%,64.95,2.61% 2.99%,Yes,0.94,-3.20%,-6.30%,0.68,73.67,Yes,0.80,Jul 26 BMO,-,6.80M,74.36,2.00,8.89%,7.23%,-15.39%,"4,625,313",0.94%,1
PGR,Financials,Progressive Corporation,0.195182,118.28,S&P500,84.31,1.40,0.20%,584.30M,2.80%,68.02B,18.89,6.26,-6.40%,583.09M,-1.94%,824.90M,2.78,1.16,86.00%,1.14%,5.22%,47.69B,1.43,-41.40%,-0.40%,2.14,7.82%,28.34,4.17,4.60%,114.31,25.79%,0.47,249.42,30.32%,18.80%,88.05 - 122.24,15.23%,0.40,18.03,26.30%,15.80%,-3.24%,0.46,0.34%,-,15.30%,-,34.33%,2.80,49000,-,3.50%,9.30%,59.64,2.53% 2.26%,Yes,0.39,-79.10%,7.00%,0.49,116.78,Yes,0.39,Jul 15 BMO,7.00%,3.11M,118.28,2.90,3.52%,2.58%,10.25%,"1,524,882",1.28%,0
CL,Consumer Staples,Colgate-Palmolive Company,0.193755,80.43,S&P500,33.32,2.41,0.10%,840.60M,2.15%,67.41B,24.53,3.28,-17.11%,834.57M,1.22%,2.04B,9.26,0.76,81.60%,1.21%,5.70%,17.48B,3.86,-18.60%,0.60%,2.13,-2.78%,0.38,211.66,13.80%,81.11,1.94%,1.12,72.10,3.60%,436.50%,72.20 - 85.61,-5.75%,1.88,62.48,-1.20%,32.90%,-6.05%,0.48,2.34%,0.70,2.80%,59.00%,11.40%,1.51,33800,1.10,1.30%,19.10%,56.94,2.20% 1.77%,Yes,23.70,-17.20%,12.40%,0.51,80.89,Yes,23.64,Jul 29 BMO,69.90%,4.73M,80.43,2.80,2.40%,2.70%,2.17%,"2,406,638",-0.57%,1
SYK,Health Care,Stryker Corporation,0.204986,215.79,S&P500,39.69,5.44,0.10%,378.30M,0.48%,80.52B,20.83,10.36,0.00%,351.33M,6.99%,2.08B,4.96,2.24,77.80%,1.46%,-10.59%,17.63B,4.57,24.10%,0.02%,3.48,-13.95%,41.43,5.21,5.90%,242.43,-18.42%,3.02,71.44,8.00%,13.90%,188.84 - 281.16,-19.31%,2.78,75.46,3.70%,8.40%,-23.25%,1.05,1.29%,1.20,8.60%,64.80%,14.27%,5.23,46000,2.00,4.60%,14.80%,60.51,1.81% 2.38%,Yes,0.85,10.80%,11.80%,0.78,214.23,Yes,0.85,Jul 26 AMC,49.30%,1.48M,215.79,2.10,6.09%,3.16%,-12.15%,"1,151,223",0.73%,0
PNC,Financials,PNC Financial Services Group Inc.,0.193925,167.04,S&P500,14.14,11.81,0.30%,420.00M,0.66%,67.44B,10.14,16.47,-0.64%,409.77M,2.91%,5.01B,-,3.71,86.50%,1.29%,-1.08%,11.56B,5.83,99.60%,0.34%,2.58,-19.70%,117.10,1.43,1.00%,184.23,-10.52%,139.57,1.20,-4.02%,10.00%,146.39 - 228.14,-16.70%,6.00,13.07,11.60%,11.80%,-26.78%,1.20,3.59%,-,2.90%,-,14.11%,3.93,57668,-,17.40%,98.80%,59.24,1.96% 2.32%,Yes,0.54,-21.50%,46.80%,0.76,164.08,Yes,0.54,Jul 15 BMO,37.80%,2.04M,167.04,2.50,3.98%,2.96%,-10.67%,"1,554,482",1.80%,0
TGT,Consumer Discretionary,Target Corporation,0.2201,165.9,S&P500,13.77,12.06,0.30%,464.00M,1.68%,72.89B,13.57,12.24,-11.08%,462.72M,10.78%,5.86B,0.70,0.73,80.30%,1.54%,-28.01%,106.98B,0.68,63.10%,-0.83%,1.14,-22.09%,23.22,7.15,11.10%,187.24,-36.45%,2.53,65.55,19.59%,44.80%,137.16 - 268.98,-28.22%,4.32,144.63,25.20%,27.60%,-38.24%,1.02,2.60%,0.10,8.60%,28.30%,21.12%,4.45,450000,0.90,4.00%,7.40%,62.04,2.11% 2.57%,Yes,1.34,-48.20%,5.50%,0.35,166.56,Yes,1.24,Aug 17 BMO,27.80%,6.28M,166.13,2.00,7.07%,9.05%,-20.41%,"2,203,754",-0.26%,1
TJX,Consumer Discretionary,TJX Companies Inc,0.212375,62.98,S&P500,22.76,2.76,0.20%,1.18B,2.71%,73.17B,17.47,3.60,-4.62%,1.17B,5.60%,3.34B,1.78,0.68,93.00%,1.09%,1.80%,49.87B,1.47,10.50%,0.06%,1.84,-10.01%,4.75,13.23,11.60%,75.30,-8.40%,3.69,17.04,12.80%,54.60%,53.69 - 77.35,-17.26%,1.18,153.81,9.30%,36.30%,-18.78%,0.93,1.88%,0.50,7.90%,28.50%,17.01%,1.56,340000,1.20,13.10%,9.30%,57.73,2.26% 2.11%,Yes,0.00,13.00%,6.70%,0.38,63.28,Yes,0.60,May 18 BMO,18.60%,6.95M,62.82,1.90,2.46%,4.33%,-3.55%,"2,636,163",-0.73%,0
D,Utilities,Dominion Energy Inc,0.19135,82.49,S&P500,29.56,2.79,0.10%,810.60M,0.72%,64.72B,18.85,4.38,-0.39%,810.12M,3.45%,2.28B,4.53,0.76,70.70%,0.90%,-0.57%,14.37B,4.50,87.70%,-0.09%,2.07,1.93%,31.75,2.60,2.90%,87.81,8.53%,0.57,145.75,6.53%,11.70%,70.37 - 88.78,5.10%,2.67,-,-1.60%,3.90%,-6.99%,0.42,3.23%,0.60,3.50%,99.50%,17.34%,1.50,17100,0.80,10.60%,21.70%,62.24,1.92% 1.78%,Yes,1.62,-33.20%,20.30%,0.72,82.89,Yes,1.42,Aug 08 BMO,71.10%,3.51M,82.57,2.30,3.79%,3.59%,3.53%,"2,528,617",-0.39%,0
EOG,Energy,EOG Resources Inc.,0.166453,107.5,S&P500,14.28,7.49,0.30%,585.09M,-3.79%,60.97B,6.44,16.61,-1.97%,583.34M,1.85%,4.38B,0.83,2.63,89.30%,1.21%,-12.10%,18.88B,3.23,864.80%,0.27%,1.56,-2.11%,37.01,2.89,11.60%,145.22,58.27%,7.04,15.21,17.15%,20.30%,60.03 - 145.98,23.18%,3.00,15.16,43.20%,17.70%,-26.70%,1.62,2.80%,1.30,20.10%,61.50%,78.26%,5.31,2800,1.40,7.00%,30.30%,49.81,5.18% 4.17%,Yes,0.24,-42.70%,23.20%,1.26,99.82,Yes,0.18,Aug 04 AMC,30.90%,4.54M,107.01,2.10,3.49%,-7.74%,0.13%,"5,730,707",7.20%,0
REGN,Health Care,Regeneron Pharmaceuticals Inc.,0.189836,612.51,S&P500 NDQ100,8.70,70.56,1.00%,106.80M,5.49%,68.12B,14.22,43.15,-8.88%,105.12M,1.01%,7.93B,-,8.86,88.00%,2.72%,-4.03%,16.51B,4.13,135.80%,0.36%,4.24,-1.14%,186.47,3.29,32.70%,685.14,1.85%,63.51,9.66,-,44.70%,538.01 - 747.42,-2.84%,-,8.58,56.40%,35.80%,-17.90%,0.29,-,4.30,27.00%,84.60%,14.05%,18.14,10368,4.80,17.30%,55.10%,58.35,3.16% 2.90%,Yes,0.14,-14.70%,48.10%,0.84,614.96,Yes,0.14,Aug 03 BMO,0.00%,674.56K,613.61,2.30,3.06%,1.61%,-3.03%,"566,118",-0.22%,0
TFC,Financials,Truist Financial Corporation,0.186747,49.81,S&P500,11.36,4.41,0.20%,1.33B,-0.73%,65.24B,9.21,5.44,-3.79%,1.32B,4.35%,5.92B,4.13,1.26,75.90%,0.92%,1.31%,13.87B,4.70,45.10%,0.48%,1.83,-20.87%,43.90,1.14,1.10%,56.28,-9.81%,30.32,1.65,2.75%,9.90%,44.68 - 68.95,-14.43%,2.08,13.14,10.00%,12.60%,-27.34%,1.12,4.15%,-,14.30%,-,12.13%,1.26,50283,-,-3.90%,99.70%,57.31,2.32% 2.46%,Yes,0.56,0.80%,43.50%,0.56,49.27,Yes,0.56,Jul 19 BMO,41.20%,6.64M,50.10,2.60,3.54%,4.14%,-10.79%,"3,683,147",1.68%,0
CSX,Industrials,CSX Corporation,0.203981,33.02,S&P500 NDQ100,18.50,1.79,0.10%,2.16B,2.41%,69.80B,16.81,1.97,-0.75%,2.14B,13.24%,3.94B,1.35,0.50,77.90%,1.08%,-4.44%,13.95B,5.00,39.70%,0.19%,1.35,-4.33%,6.08,5.45,9.80%,35.54,2.99%,0.39,85.96,13.72%,29.70%,27.59 - 38.63,-11.94%,0.40,27.53,22.70%,14.80%,-14.29%,1.21,1.21%,1.00,2.50%,72.40%,19.99%,0.67,21700,1.20,27.60%,41.50%,71.24,1.81% 2.01%,Yes,1.23,5.60%,28.20%,0.68,32.83,Yes,1.22,Jul 20 AMC,21.50%,16.97M,33.11,2.10,8.53%,9.11%,-2.74%,"11,467,051",0.85%,0
USB,Financials,U.S. Bancorp,0.18116,47.31,S&P500,10.92,4.34,0.10%,1.49B,0.40%,71.93B,9.28,5.11,0.00%,1.48B,1.35%,6.45B,2.09,1.17,77.10%,0.83%,-3.76%,14.01B,5.14,66.80%,0.00%,1.75,-19.88%,29.89,1.59,1.30%,54.99,-15.09%,29.19,1.62,5.21%,16.20%,43.74 - 63.57,-15.63%,1.84,9.87,9.50%,14.40%,-25.45%,0.99,3.88%,-,0.50%,-,8.33%,1.18,68796,-,2.30%,97.60%,50.87,2.01% 2.31%,Yes,0.74,-31.80%,54.30%,0.57,47.07,Yes,0.74,Jul 15 BMO,33.70%,7.07M,47.39,2.60,1.06%,-1.19%,-12.51%,"4,057,885",0.68%,0
EQIX,Real Estate,Equinix Inc.,0.181288,697.51,S&P500,99.29,7.03,0.30%,90.77M,-0.89%,58.84B,78.30,8.91,-14.87%,90.73M,5.56%,639.30M,3.47,1.81,95.40%,1.61%,-2.23%,6.93B,8.49,32.30%,-0.08%,2.79,-2.16%,120.55,5.79,1.80%,804.36,-16.03%,-,-,28.60%,4.60%,606.12 - 885.26,-17.54%,12.40,-,27.90%,3.60%,-21.21%,0.48,1.78%,1.90,12.90%,47.30%,15.08%,18.57,10944,1.90,8.70%,14.30%,60.92,1.88% 2.42%,Yes,1.27,-7.10%,7.20%,0.50,697.00,Yes,1.25,Jul 27 AMC,202.20%,523.30K,697.51,2.10,6.39%,5.52%,-4.08%,"261,438",0.07%,0
ATVI,Communication Services,Activision Blizzard Inc.,0.179084,80.49,S&P500 NDQ100,25.50,3.16,0.10%,780.00M,0.68%,62.81B,21.03,3.83,-4.96%,775.17M,2.39%,2.47B,2.36,0.48,84.60%,2.29%,2.20%,8.30B,7.57,21.90%,0.58%,3.62,1.95%,22.86,3.52,10.10%,94.22,0.21%,14.27,5.64,10.79%,14.40%,56.40 - 86.90,20.98%,0.47,29.36,22.00%,13.20%,-7.38%,0.51,0.58%,5.50,5.90%,73.30%,42.71%,0.97,9800,5.50,-22.30%,35.50%,61.76,1.15% 1.24%,Yes,0.20,-36.40%,29.80%,0.49,80.66,Yes,0.20,Aug 01 AMC,14.80%,4.90M,80.49,2.30,2.23%,3.49%,7.35%,"2,381,509",-0.21%,0
EW,Health Care,Edwards Lifesciences Corporation,0.186584,106.12,S&P500,45.92,2.31,0.20%,622.10M,5.55%,69.31B,38.96,2.72,-27.41%,616.88M,7.81%,1.46B,3.58,0.62,85.00%,1.08%,2.67%,5.36B,12.94,82.80%,0.08%,2.46,-4.90%,9.40,11.29,18.40%,117.95,-7.54%,2.29,46.33,12.81%,26.90%,85.58 - 131.73,-18.09%,-,49.28,22.30%,23.20%,-19.44%,1.16,-,2.60,12.00%,77.80%,24.00%,3.09,15700,3.40,10.20%,31.60%,61.35,2.72% 2.66%,Yes,0.10,10.80%,28.10%,0.75,104.85,Yes,0.10,Jul 28 AMC,0.00%,2.70M,106.12,1.90,5.17%,9.03%,-3.22%,"2,032,637",1.21%,0
HUM,Health Care,Humana Inc.,0.173467,483.2,S&P500,19.75,24.51,0.10%,126.52M,0.42%,60.79B,17.46,27.72,-7.81%,126.25M,1.61%,3.14B,1.40,6.22,97.30%,1.28%,11.53%,89.38B,0.68,-10.50%,-0.48%,1.90,13.56%,122.43,3.95,6.90%,527.38,16.38%,41.03,11.80,14.15%,19.90%,351.20 - 497.47,4.35%,3.15,25.79,41.00%,9.20%,-2.70%,0.79,0.65%,-,8.80%,-,37.82%,10.70,95500,-,14.60%,3.60%,54.98,1.98% 2.16%,Yes,0.85,20.50%,3.50%,0.65,479.93,Yes,0.73,Jul 27 BMO,12.10%,847.81K,484.02,2.00,0.12%,4.26%,9.42%,"551,210",0.85%,0
MU,Information Technology,Micron Technology Inc.,0.206312,62.45,S&P500 NDQ100,7.12,8.77,0.26%,1.11B,0.97%,68.94B,9.79,6.38,-0.21%,1.10B,6.13%,9.91B,0.68,1.65,83.50%,3.09%,-12.39%,32.39B,2.13,116.20%,0.16%,1.90,-23.80%,44.32,1.41,15.90%,77.45,-23.35%,9.27,6.74,10.52%,21.20%,51.40 - 98.45,-32.95%,0.46,15.37,84.30%,11.60%,-36.56%,1.29,0.74%,2.40,17.40%,46.90%,21.52%,2.23,43000,3.20,16.40%,34.10%,52.46,2.99% 3.13%,Yes,0.14,54.60%,30.60%,0.84,64.85,Yes,0.14,Jun 30 AMC,3.40%,17.96M,62.46,1.90,1.84%,0.55%,-17.38%,"15,038,708",-3.69%,1
WM,Industrials,Waste Management Inc.,0.185129,168.04,S&P500,33.01,5.12,0.10%,414.40M,2.59%,67.55B,26.50,6.37,-26.79%,412.30M,9.94%,2.14B,2.25,1.51,83.10%,0.79%,6.42%,19.03B,3.55,22.00%,-0.02%,1.95,15.30%,17.35,9.73,7.30%,174.36,13.82%,2.23,75.56,14.64%,30.00%,138.58 - 170.18,1.16%,2.60,54.09,10.20%,10.80%,-0.79%,0.78,1.54%,1.00,5.70%,46.40%,21.83%,2.98,48500,1.10,12.30%,16.70%,73.14,1.75% 1.67%,Yes,1.99,70.10%,11.30%,0.88,169.13,Yes,1.95,Jul 27 BMO,47.60%,1.66M,168.83,2.40,7.69%,9.49%,7.86%,"1,468,110",-0.18%,0
EL,Consumer Staples,Estee Lauder Companies Inc. Class A,0.181052,270.74,S&P500,29.59,9.15,0.10%,359.20M,-0.86%,93.32B,33.71,8.03,-72.56%,229.97M,4.40%,3.36B,2.38,0.34,90.80%,1.48%,11.95%,18.11B,5.15,318.10%,-0.02%,2.26,-10.68%,17.12,15.81,15.40%,304.87,-17.63%,11.13,24.33,12.40%,54.80%,225.39 - 374.20,-26.87%,2.40,84.99,21.40%,18.60%,-27.65%,0.98,0.89%,1.20,7.60%,76.50%,20.12%,7.11,62000,1.80,9.90%,18.40%,59.34,2.16% 2.64%,Yes,0.89,24.20%,18.50%,0.66,273.31,Yes,0.84,Aug 18 BMO,24.30%,1.51M,270.74,2.00,4.92%,6.22%,-7.50%,"998,811",-0.94%,0
AON,Financials,Aon Plc Class A,0.173418,287.53,S&P500,45.67,6.30,0.70%,215.30M,-1.21%,60.02B,19.59,14.68,-1.96%,195.06M,4.82%,1.36B,3.21,2.06,90.90%,0.91%,0.34%,12.34B,4.86,-34.30%,0.15%,1.85,3.99%,5.47,52.56,3.80%,303.58,9.58%,37.13,7.74,14.21%,56.30%,246.21 - 341.98,-4.34%,2.24,37.56,4.20%,15.30%,-15.92%,0.91,0.78%,1.10,5.30%,-,16.78%,6.74,50000,1.10,4.10%,18.10%,59.49,2.25% 2.25%,Yes,8.77,18.10%,10.20%,0.58,285.75,Yes,8.26,Jul 29 BMO,35.30%,960.53K,287.53,2.90,3.25%,6.04%,-1.11%,"560,151",0.62%,0
FIS,Information Technology,Fidelity National Information Services Inc.,0.168551,97.37,S&P500,66.24,1.47,0.20%,614.00M,-4.69%,57.30B,11.73,8.30,-1.25%,605.81M,3.74%,910.00M,4.91,1.71,93.00%,1.20%,-3.21%,14.15B,4.05,166.50%,0.97%,2.24,-15.65%,76.59,1.27,1.10%,128.45,-24.82%,-,-,13.48%,1.90%,85.00 - 135.62,-10.79%,1.88,16.34,-15.80%,0.60%,-28.20%,0.75,1.93%,0.70,9.50%,37.70%,14.55%,3.05,65000,0.70,8.30%,5.70%,48.35,3.26% 2.44%,Yes,0.41,132.50%,6.40%,1.05,96.57,Yes,0.30,Aug 04 BMO,79.00%,3.25M,97.37,1.90,-0.27%,-0.48%,-6.19%,"3,421,877",0.83%,0
SHW,Materials,Sherwin-Williams Company,0.166621,237.07,S&P500,35.64,6.65,0.20%,258.10M,-2.01%,58.91B,22.43,10.57,0.29%,238.25M,-1.01%,1.75B,2.59,2.71,78.90%,1.19%,-14.40%,20.78B,2.84,-5.20%,-0.14%,1.59,-17.63%,8.62,27.50,8.20%,273.65,-19.81%,1.26,188.47,13.74%,73.20%,214.22 - 354.15,-32.68%,2.40,93.50,11.80%,15.30%,-33.06%,1.07,1.01%,0.50,11.00%,41.00%,10.67%,7.92,61626,0.90,9.20%,10.30%,44.25,2.22% 2.67%,Yes,4.77,-8.90%,8.40%,1.10,243.09,Yes,3.86,Jul 27 BMO,34.00%,1.78M,237.08,2.50,-3.58%,-3.51%,-15.47%,"1,953,158",-2.47%,0
DG,Consumer Discretionary,Dollar General Corporation,0.164286,252.95,S&P500,25.95,9.75,0.30%,228.48M,1.87%,56.53B,20.11,12.59,-4.40%,226.27M,-0.70%,2.27B,2.34,2.92,97.30%,1.81%,8.32%,34.57B,1.64,-4.20%,-0.08%,2.05,23.23%,26.09,9.70,8.70%,254.61,7.32%,1.50,168.44,11.07%,37.10%,183.25 - 262.20,7.31%,2.20,50.45,18.10%,24.50%,-3.48%,0.40,0.87%,0.10,9.30%,31.20%,38.11%,5.00,163000,1.00,4.20%,8.80%,61.11,1.68% 1.99%,Yes,0.81,-14.70%,6.60%,0.63,251.28,Yes,0.66,May 26 BMO,18.40%,2.00M,253.08,2.10,2.11%,5.66%,11.92%,"1,265,725",0.72%,0
CHTR,Communication Services,Charter Communications Inc. Class A,0.152087,462.98,S&P500 NDQ100,16.77,27.61,10.00%,164.05M,7.15%,97.65B,12.78,36.23,-0.03%,152.87M,-0.52%,5.05B,0.54,7.95,59.80%,4.81%,1.49%,52.36B,1.87,58.90%,-0.12%,5.44,-24.16%,60.22,7.69,3.80%,594.77,-39.87%,2.29,202.18,30.92%,41.50%,407.75 - 825.62,-28.99%,-,12.38,8.90%,8.80%,-43.92%,0.94,-,0.30,12.20%,45.10%,13.55%,17.28,93700,0.30,6.20%,23.00%,50.25,4.19% 3.38%,Yes,9.72,66.60%,10.50%,0.61,459.45,Yes,9.56,Jul 29 BMO,0.00%,1.35M,462.98,2.50,-0.35%,-1.26%,-17.90%,"828,319",0.77%,0
LRCX,Information Technology,Lam Research Corporation,0.211457,519.1,S&P500 NDQ100,15.88,32.75,0.20%,139.23M,3.89%,66.55B,14.38,36.15,-2.37%,136.61M,25.33%,4.61B,2.07,9.55,83.80%,1.24%,8.03%,17.23B,3.86,78.10%,0.24%,1.22,-11.68%,43.28,12.01,28.40%,575.05,-19.47%,34.03,15.28,7.66%,75.40%,375.87 - 731.85,-27.70%,6.00,20.40,38.80%,36.40%,-28.95%,1.33,1.15%,2.00,20.00%,45.70%,38.34%,20.38,14100,2.80,5.50%,30.30%,66.51,3.71% 3.99%,Yes,0.83,-1.50%,26.60%,0.75,531.85,Yes,0.83,Jul 27 AMC,16.70%,1.39M,519.97,2.10,13.32%,12.98%,-5.30%,"1,044,447",-2.23%,1
NSC,Industrials,Norfolk Southern Corporation,0.17149,251.02,S&P500,20.00,12.55,0.10%,236.70M,-0.06%,57.10B,16.84,14.90,-37.42%,234.59M,9.74%,3.03B,1.81,3.71,76.20%,1.41%,-2.28%,11.87B,4.81,54.50%,-0.25%,2.71,-8.99%,55.57,4.52,7.80%,264.26,-1.36%,5.54,45.35,11.07%,22.40%,217.00 - 299.20,-15.68%,4.96,41.80,16.60%,13.00%,-16.10%,1.32,1.98%,1.00,2.40%,52.00%,15.68%,5.26,18100,1.10,16.10%,38.90%,65.59,1.67% 2.12%,Yes,1.14,5.10%,25.60%,0.52,250.93,Yes,1.10,Jul 27 BMO,37.00%,1.21M,251.02,2.40,5.33%,7.12%,-4.76%,"627,245",0.04%,0
