,sector,name,weight,price,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Book/sh,P/B,ROA,Target Price,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range,Perf YTD,Dividend,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend %,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR,Employees,Current Ratio,Sales Q/Q,Oper. Margin,RSI (14),Volatility,Optionable,Debt/Eq,EPS Q/Q,Profit Margin,Rel Volume,Prev Close,Shortable,LT Debt/Eq,Earnings,Payout,Avg Volume,Price,Recom,SMA20,SMA50,SMA200,Volume,Change
MMM,Industrials,3M Company,0.232935,143.1,DJIA S&P500,14.92,9.60,0.08%,572.30M,6.80%,81.41B,12.99,11.03,-2.56%,568.58M,10.38%,5.60B,5.33,2.42,67.70%,1.37%,-2.65%,35.33B,2.30,8.10%,0.13%,2.50,-15.82%,26.09,5.49,11.80%,144.07,-27.72%,5.91,24.24,2.80%,38.00%,125.60 - 202.77,-19.36%,5.96,49.46,4.40%,18.70%,-29.36%,0.95,4.16%,1.00,3.30%,46.00%,14.04%,3.12,95000,1.60,-0.20%,19.90%,69.05,2.51% 2.03%,Yes,1.12,-18.40%,15.80%,1.28,140.37,Yes,0.99,Jul 26 BMO,61.20%,3.11M,143.24,3.30,8.60%,4.44%,-9.04%,"3,995,836",2.04%
BKNG,Consumer Discretionary,Booking Holdings Inc.,0.226384,1936.92,S&P500 NDQ100,156.55,12.37,0.20%,40.92M,6.95%,79.48B,15.08,128.33,-15.38%,40.52M,6.92%,520.00M,3.06,17.51,94.00%,1.81%,-16.49%,12.51B,6.35,117.00%,0.21%,1.67,-17.97%,106.86,18.11,2.20%,2576.57,-12.58%,-,-,51.17%,10.00%,1669.34 - 2715.66,-19.32%,-,18.17,-8.00%,11.40%,-28.72%,1.24,-,1.70,0.40%,-,15.96%,66.06,20300,1.70,136.20%,21.90%,57.80,2.60% 3.12%,Yes,2.23,-,4.20%,0.91,1912.93,Yes,1.93,Aug 03 AMC,0.00%,438.36K,1935.69,2.20,8.58%,-1.49%,-13.10%,"397,815",1.19%
BDX,Health Care,Becton Dickinson and Company,0.201792,242.07,S&P500,38.52,6.34,0.10%,285.24M,0.90%,69.34B,19.93,12.26,-7.36%,282.74M,-2.02%,1.83B,7.86,2.50,88.30%,1.24%,-3.50%,20.03B,3.46,152.40%,0.02%,3.30,-0.24%,85.97,2.84,3.40%,273.18,-1.85%,11.14,21.93,4.90%,7.60%,229.24 - 277.29,-0.35%,3.48,74.80,8.80%,6.00%,-11.89%,0.61,1.42%,1.00,10.20%,45.80%,6.58%,4.74,75000,1.50,2.10%,12.20%,52.15,1.72% 1.78%,Yes,0.76,59.00%,9.10%,1.04,243.91,Yes,0.72,Aug 04 BMO,39.60%,1.06M,244.31,2.30,0.91%,-0.75%,-2.21%,"1,097,110",0.16%
NOC,Industrials,Northrop Grumman Corp.,0.193754,478.7,S&P500,13.20,36.28,0.30%,156.00M,5.99%,74.77B,17.54,27.31,-2.71%,155.11M,3.70%,5.76B,2.16,6.10,84.10%,1.11%,7.58%,35.31B,2.12,128.80%,0.28%,2.10,28.05%,85.17,5.62,13.60%,493.60,30.97%,13.93,34.39,6.10%,47.30%,344.89 - 492.30,23.72%,6.92,107.58,30.90%,14.30%,-2.72%,0.62,1.44%,1.20,7.60%,21.00%,38.86%,13.21,88000,1.30,-3.90%,10.60%,59.70,3.21% 2.87%,Yes,0.97,-54.60%,16.30%,1.46,454.46,Yes,0.97,Jul 28 BMO,17.20%,818.95K,478.90,2.40,3.35%,3.42%,13.95%,"1,197,696",5.38%
GE,Industrials,General Electric Company,0.233615,73.53,S&P500,-,-4.01,0.20%,1.10B,8.39%,81.28B,15.89,4.65,3.39%,1.10B,16.05%,-4410.00M,-,0.38,72.70%,1.31%,-4.91%,74.12B,1.10,-159.20%,0.00%,2.06,-17.79%,35.45,2.08,-2.30%,90.56,-30.48%,21.48,3.44,54.10%,-13.30%,59.93 - 116.17,-21.76%,0.32,27.92,-19.90%,-5.80%,-36.37%,1.09,0.43%,0.90,-9.10%,25.20%,23.33%,2.41,168000,1.20,-0.20%,-7.60%,69.98,3.57% 3.09%,Yes,0.86,-,-6.70%,1.14,73.14,Yes,0.73,Jul 26 BMO,-,6.97M,73.91,2.00,13.08%,6.41%,-16.59%,"7,925,556",1.05%
PGR,Financials,Progressive Corporation,0.194569,115.36,S&P500,82.01,1.40,0.20%,584.30M,3.48%,67.36B,18.70,6.15,-6.53%,583.09M,1.25%,824.90M,2.70,1.15,86.00%,1.14%,4.20%,47.69B,1.41,-41.40%,-0.39%,2.11,6.89%,28.34,4.06,4.60%,114.00,21.93%,0.47,247.01,30.32%,18.80%,88.05 - 122.24,12.09%,0.40,17.86,26.30%,15.80%,-5.87%,0.46,0.35%,-,15.30%,-,30.68%,2.82,49000,-,3.50%,9.30%,52.13,1.57% 2.33%,Yes,0.39,-79.10%,7.00%,0.87,114.19,Yes,0.39,Jul 15 BMO,7.00%,3.16M,115.06,2.90,-0.15%,0.06%,7.88%,"2,749,159",0.76%
CL,Consumer Staples,Colgate-Palmolive Company,0.193376,78.74,S&P500,32.62,2.41,0.10%,840.60M,1.64%,64.86B,23.85,3.30,-26.05%,834.57M,-1.17%,2.04B,8.55,0.71,81.40%,1.21%,-3.05%,17.48B,3.71,-18.60%,0.41%,2.11,-4.79%,0.38,207.21,13.10%,81.05,-5.72%,1.14,69.37,3.82%,411.90%,72.20 - 85.61,-7.73%,1.88,76.31,-1.20%,32.90%,-8.02%,0.48,2.39%,0.70,2.80%,59.00%,9.06%,1.42,33800,1.10,1.30%,18.20%,53.06,1.71% 1.75%,Yes,23.70,-17.20%,11.70%,1.21,79.19,Yes,23.64,Jul 29 BMO,74.30%,4.76M,78.74,2.80,0.17%,1.09%,0.17%,"5,746,377",-0.57%
SYK,Health Care,Stryker Corporation,0.213662,214.75,S&P500,40.76,5.27,0.10%,377.70M,7.69%,81.54B,20.10,10.68,0.00%,351.29M,7.68%,2.02B,5.51,2.28,77.70%,1.46%,-14.82%,17.43B,4.68,24.10%,-0.00%,3.37,-12.46%,39.84,5.39,5.80%,254.76,-20.22%,4.03,53.30,7.40%,13.90%,188.84 - 281.16,-19.70%,2.78,55.13,3.70%,8.40%,-23.62%,1.02,1.29%,1.20,8.60%,62.90%,13.72%,5.82,46000,2.00,8.10%,14.70%,60.82,3.50% 2.56%,Yes,0.94,6.70%,11.60%,1.30,219.03,Yes,0.92,Jul 26 AMC,49.60%,1.52M,214.75,2.10,7.28%,1.73%,-12.99%,"1,979,719",-1.95%
PNC,Financials,PNC Financial Services Group Inc.,0.196278,165.94,S&P500,14.05,11.81,0.30%,420.00M,2.58%,68.14B,10.07,16.48,-0.63%,409.77M,5.45%,5.01B,-,3.72,86.10%,1.29%,-3.00%,11.56B,5.89,99.60%,-0.05%,2.48,-19.04%,117.10,1.42,1.00%,184.23,-10.38%,137.23,1.21,-4.02%,10.00%,146.39 - 228.14,-17.25%,6.00,13.21,11.60%,11.80%,-27.26%,1.21,3.62%,-,2.90%,-,13.35%,4.18,57668,-,17.40%,98.80%,59.47,2.15% 2.59%,Yes,0.54,-21.50%,46.80%,1.00,162.90,Yes,0.54,Jul 15 BMO,37.80%,2.12M,165.94,2.50,4.02%,2.73%,-11.69%,"2,120,424",1.87%
TGT,Consumer Discretionary,Target Corporation,0.214766,163.35,S&P500,13.54,12.06,0.30%,464.00M,3.58%,76.20B,13.34,12.24,-10.49%,462.72M,15.14%,5.86B,0.69,0.73,80.80%,1.54%,-30.89%,106.98B,0.71,63.10%,-0.12%,1.14,-23.00%,23.22,7.04,11.10%,186.79,-37.56%,2.38,68.53,19.59%,44.80%,137.16 - 268.98,-29.41%,4.32,151.19,25.20%,27.60%,-39.26%,1.02,2.64%,0.10,8.60%,28.30%,19.12%,4.72,450000,0.90,4.00%,7.40%,62.09,2.72% 2.88%,Yes,1.34,-48.20%,5.50%,0.88,159.42,Yes,1.24,May 18 BMO,27.80%,6.26M,163.38,2.00,8.91%,7.07%,-22.43%,"5,518,431",2.48%
TJX,Consumer Discretionary,TJX Companies Inc,0.209359,60.86,S&P500,22.16,2.76,0.20%,1.18B,-4.08%,71.63B,17.06,3.58,-4.60%,1.17B,7.13%,3.34B,1.73,0.69,93.10%,1.09%,-3.44%,49.87B,1.44,10.50%,0.19%,1.82,-12.15%,4.75,12.88,11.60%,75.65,-11.16%,3.67,16.68,12.80%,54.60%,53.69 - 77.35,-19.44%,1.18,150.59,9.30%,36.30%,-20.93%,0.95,1.93%,0.50,7.90%,28.50%,13.91%,1.59,340000,1.20,13.10%,9.30%,53.34,2.06% 2.35%,Yes,0.00,13.00%,6.70%,0.95,61.19,Yes,0.60,May 18 BMO,18.60%,7.03M,61.16,1.90,1.83%,2.12%,-6.16%,"6,662,639",-0.05%
D,Utilities,Dominion Energy Inc,0.191382,81.98,S&P500,29.35,2.79,0.10%,810.60M,5.99%,65.31B,18.71,4.38,-0.38%,810.12M,3.75%,2.28B,4.49,0.76,70.70%,0.90%,-2.25%,14.37B,4.54,87.70%,-0.05%,2.04,4.82%,31.75,2.58,2.90%,87.81,8.57%,0.56,147.10,6.53%,11.70%,70.37 - 88.78,4.35%,2.67,-,-1.60%,3.90%,-7.66%,0.40,3.26%,0.60,3.50%,99.50%,16.50%,1.47,17100,0.80,10.60%,21.70%,63.12,1.80% 1.93%,Yes,1.62,-33.20%,20.30%,0.98,81.32,Yes,1.42,Aug 08 BMO,71.10%,3.55M,81.98,2.30,3.86%,2.80%,3.10%,"3,468,724",0.81%
EOG,Energy,EOG Resources Inc.,0.182564,111.63,S&P500,14.84,7.49,0.30%,585.09M,10.12%,66.79B,6.72,16.54,-1.87%,583.34M,-1.77%,4.38B,0.87,2.95,89.30%,1.21%,-4.26%,18.88B,3.54,864.80%,0.25%,1.58,3.62%,37.01,3.01,11.60%,147.56,57.87%,6.68,16.66,17.02%,20.30%,60.03 - 145.98,28.02%,3.00,16.61,43.20%,17.70%,-23.81%,1.64,2.70%,1.30,20.10%,61.50%,85.27%,5.17,2800,1.40,7.00%,30.30%,53.80,4.37% 4.19%,Yes,0.24,-42.70%,23.20%,1.43,107.39,Yes,0.18,Aug 05 BMO,30.90%,4.46M,111.22,2.10,7.38%,-5.48%,4.55%,"6,388,963",3.57%
REGN,Health Care,Regeneron Pharmaceuticals Inc.,0.183277,580.51,S&P500 NDQ100,8.24,70.56,1.00%,106.80M,-0.75%,64.59B,13.45,43.26,-8.88%,105.12M,-2.67%,7.93B,-,9.13,87.80%,2.72%,-13.90%,16.51B,3.91,135.80%,0.12%,4.24,-4.44%,186.47,3.12,32.70%,690.05,-0.25%,63.50,9.16,-,44.70%,538.01 - 747.42,-7.89%,-,8.14,56.40%,35.80%,-22.17%,0.30,-,4.30,27.00%,84.60%,8.12%,16.16,10368,4.80,17.30%,55.10%,41.50,3.15% 2.69%,Yes,0.14,-14.70%,48.10%,1.01,582.37,Yes,0.14,Aug 03 BMO,0.00%,673.68K,581.69,2.30,-2.53%,-4.84%,-7.92%,"682,337",-0.12%
TFC,Financials,Truist Financial Corporation,0.191505,50.47,S&P500,11.44,4.41,0.20%,1.33B,4.84%,67.24B,9.24,5.46,-3.70%,1.32B,6.48%,5.92B,4.16,1.26,75.80%,0.92%,0.44%,13.87B,4.85,45.10%,0.37%,1.70,-18.48%,43.90,1.15,1.10%,56.27,-8.77%,29.63,1.70,2.75%,9.90%,44.68 - 68.95,-13.80%,1.92,13.54,10.00%,12.60%,-26.80%,1.12,3.80%,-,14.30%,-,12.96%,1.32,50283,-,-3.90%,99.70%,62.53,2.43% 2.65%,Yes,0.56,0.80%,43.50%,0.89,49.56,Yes,0.56,Jul 19 BMO,41.20%,7.14M,50.47,2.60,5.41%,5.65%,-10.56%,"6,335,899",1.84%
CSX,Industrials,CSX Corporation,0.200859,32.21,S&P500 NDQ100,18.06,1.79,0.10%,2.16B,4.66%,70.52B,16.41,1.97,-0.73%,2.15B,11.02%,3.94B,1.32,0.50,76.70%,1.07%,-8.18%,13.95B,5.06,39.70%,0.13%,1.33,-3.67%,6.08,5.32,9.80%,35.54,0.75%,0.37,86.85,13.72%,29.70%,27.59 - 38.63,-14.02%,0.40,27.82,22.70%,14.80%,-16.31%,1.21,1.24%,1.00,2.50%,72.40%,17.16%,0.70,21700,1.20,27.60%,41.50%,69.75,1.85% 2.13%,Yes,1.23,5.60%,28.20%,0.67,31.71,Yes,1.22,Jul 20 AMC,21.50%,17.25M,32.33,2.10,9.08%,6.77%,-5.09%,"11,521,082",1.96%
USB,Financials,U.S. Bancorp,0.180961,47.2,S&P500,10.88,4.34,0.10%,1.49B,-1.07%,69.99B,9.23,5.11,0.00%,1.48B,2.34%,6.45B,2.09,1.18,77.10%,0.83%,-5.68%,14.01B,5.00,66.80%,0.02%,1.73,-17.83%,29.89,1.58,1.30%,54.94,-16.37%,29.88,1.58,5.21%,16.20%,43.74 - 63.57,-15.97%,1.84,9.60,9.50%,14.40%,-25.75%,1.01,3.90%,-,0.50%,-,7.90%,1.28,68796,-,2.30%,97.60%,49.96,3.09% 2.44%,Yes,0.74,-31.80%,54.30%,1.08,46.12,Yes,0.74,Jul 15 BMO,33.70%,7.13M,47.20,2.60,1.09%,-2.06%,-13.40%,"7,696,202",2.34%
EQIX,Real Estate,Equinix Inc.,0.188614,703.29,S&P500,130.01,5.41,0.30%,90.77M,7.64%,63.70B,77.92,9.03,-14.00%,90.73M,8.35%,491.30M,4.55,1.79,95.40%,1.61%,-6.97%,6.77B,9.40,32.30%,-0.10%,2.76,3.03%,120.55,5.84,1.80%,814.70,-10.51%,-,-,28.60%,4.60%,606.12 - 885.26,-16.80%,12.40,-,27.90%,3.60%,-20.50%,0.45,1.76%,1.90,12.90%,47.00%,16.11%,20.61,10944,1.90,8.70%,14.40%,64.11,2.75% 2.66%,Yes,1.27,-7.10%,7.30%,0.99,711.31,Yes,1.25,Jul 27 AMC,210.80%,529.86K,703.74,2.10,8.66%,7.26%,-3.46%,"524,341",-1.06%
ATVI,Communication Services,Activision Blizzard Inc.,0.179971,79.8,S&P500 NDQ100,25.32,3.16,0.10%,780.00M,0.91%,62.72B,20.75,3.85,-3.75%,775.17M,2.55%,2.47B,2.49,0.48,84.80%,2.29%,4.24%,8.30B,7.56,21.90%,0.87%,3.34,1.33%,22.86,3.50,10.10%,94.22,-4.33%,14.19,5.63,10.19%,14.40%,56.40 - 86.90,20.17%,0.47,29.32,22.00%,13.20%,-8.00%,0.52,0.59%,5.50,5.90%,73.30%,41.76%,0.99,9800,5.50,-22.30%,35.50%,61.76,1.10% 1.27%,Yes,0.20,-36.40%,29.80%,0.73,79.51,Yes,0.20,Aug 01 AMC,14.80%,5.31M,79.95,2.30,2.08%,3.11%,6.78%,"3,855,753",0.55%
EW,Health Care,Edwards Lifesciences Corporation,0.194643,100.97,S&P500,41.20,2.44,0.20%,622.10M,-1.99%,63.24B,35.48,2.83,-28.38%,616.88M,4.70%,1.54B,3.08,0.64,85.10%,1.08%,-8.41%,5.36B,11.80,82.80%,0.22%,2.47,-1.39%,9.40,10.70,18.80%,120.05,-9.93%,2.38,42.27,13.38%,27.50%,85.58 - 131.73,-22.39%,-,44.15,22.30%,23.20%,-23.68%,1.15,-,2.60,12.00%,76.60%,17.48%,3.26,15700,3.40,10.20%,32.60%,51.70,2.60% 2.63%,Yes,0.10,10.80%,28.70%,2.69,107.29,Yes,0.10,Jul 28 AMC,0.00%,2.69M,100.54,1.90,0.82%,4.05%,-8.49%,"7,240,824",-6.29%
HUM,Health Care,Humana Inc.,0.178349,475.6,S&P500,20.44,23.58,0.10%,126.94M,-1.43%,60.56B,17.44,27.64,-7.81%,126.25M,2.92%,3.04B,1.44,7.67,98.00%,1.28%,5.01%,86.37B,0.70,-10.50%,0.33%,1.89,25.83%,120.68,3.99,7.00%,514.30,11.90%,38.71,12.45,14.23%,19.40%,351.20 - 497.47,3.91%,3.15,35.25,41.00%,9.20%,-3.11%,0.80,0.65%,-,8.80%,-,37.24%,11.62,95500,-,16.00%,3.70%,54.00,1.95% 2.25%,Yes,0.87,14.10%,3.50%,0.96,484.01,Yes,0.74,Jul 27 BMO,12.20%,854.70K,482.00,2.00,-0.06%,4.84%,9.26%,"821,574",-0.42%
MU,Information Technology,Micron Technology Inc.,0.201314,61.85,S&P500 NDQ100,7.05,8.77,0.26%,1.11B,0.93%,70.86B,9.69,6.38,-0.20%,1.10B,10.42%,9.91B,0.67,1.65,83.60%,3.09%,-11.86%,32.39B,2.19,116.20%,0.25%,1.86,-21.42%,44.32,1.40,15.90%,77.45,-19.75%,8.93,6.93,10.52%,21.20%,51.40 - 98.45,-33.59%,0.46,15.80,84.30%,11.60%,-37.17%,1.31,0.74%,2.40,17.40%,46.90%,20.35%,2.15,43000,3.20,16.40%,34.10%,52.88,3.16% 3.55%,Yes,0.14,54.60%,30.60%,0.78,62.07,Yes,0.14,Jun 30 AMC,3.40%,18.25M,61.86,2.10,3.74%,-1.61%,-18.28%,"14,174,371",-0.34%
WM,Industrials,Waste Management Inc.,0.183644,162.63,S&P500,36.29,4.53,0.10%,415.70M,6.22%,68.46B,26.55,6.20,-26.03%,414.23M,8.80%,1.91B,3.11,1.40,83.20%,0.78%,-3.00%,18.48B,3.70,22.00%,0.03%,1.94,12.52%,17.19,9.57,6.60%,172.14,12.55%,0.37,441.68,11.66%,26.50%,138.58 - 170.18,-1.40%,2.60,48.01,10.20%,10.80%,-3.30%,0.77,1.58%,0.80,5.70%,46.70%,18.75%,2.98,48500,0.80,13.40%,15.50%,70.32,1.82% 1.79%,Yes,1.89,23.70%,10.30%,1.24,164.57,Yes,1.83,Jul 27 BMO,52.10%,1.67M,164.56,2.40,6.95%,7.46%,5.28%,"2,068,280",-0.01%
EL,Consumer Staples,Estee Lauder Companies Inc. Class A,0.183213,273.48,S&P500,29.84,9.15,0.10%,359.20M,5.00%,98.52B,33.99,8.04,-71.64%,229.97M,6.27%,3.36B,2.41,0.33,90.70%,1.48%,0.28%,18.11B,5.44,318.10%,-0.04%,2.11,-8.41%,17.12,15.95,15.40%,307.17,-18.13%,10.63,25.68,12.40%,54.80%,225.39 - 374.20,-26.23%,2.40,89.73,21.40%,18.60%,-27.02%,0.98,0.88%,1.20,7.60%,76.50%,21.17%,7.86,62000,1.80,9.90%,18.40%,63.81,2.88% 2.76%,Yes,0.89,24.20%,18.50%,0.85,271.29,Yes,0.84,May 03 BMO,24.30%,1.61M,273.10,2.00,7.31%,8.65%,-7.05%,"1,373,626",0.67%
AON,Financials,Aon Plc Class A,0.18113,291.04,S&P500,46.23,6.30,0.70%,215.30M,4.13%,62.07B,19.79,14.71,-1.91%,195.06M,8.24%,1.36B,3.25,2.53,91.10%,0.91%,-8.48%,12.34B,5.03,-34.30%,0.33%,1.81,11.13%,5.47,53.21,4.10%,303.92,10.34%,36.34,8.01,14.21%,61.30%,246.21 - 341.98,-3.17%,2.24,41.38,4.20%,15.30%,-14.90%,0.90,0.77%,1.10,5.30%,-,18.21%,6.80,50000,1.10,4.10%,19.30%,65.95,2.53% 2.32%,Yes,8.77,18.10%,11.10%,1.31,292.76,Yes,8.26,Jul 29 BMO,32.10%,986.35K,291.04,2.90,5.46%,7.97%,-0.07%,"1,291,023",-0.59%
FIS,Information Technology,Fidelity National Information Services Inc.,0.179591,102.16,S&P500,69.50,1.47,0.20%,614.00M,3.17%,62.33B,12.28,8.32,-1.21%,605.81M,8.03%,910.00M,5.15,1.72,92.90%,1.20%,-1.57%,14.15B,4.41,166.50%,0.86%,2.23,-6.48%,76.59,1.33,1.10%,129.20,-31.72%,-,-,13.48%,1.90%,85.00 - 151.39,-6.40%,1.88,17.77,-15.80%,0.60%,-32.52%,0.75,1.84%,0.70,9.50%,37.70%,20.19%,2.59,65000,0.70,8.30%,5.70%,64.01,2.44% 2.38%,Yes,0.41,132.50%,6.40%,0.98,100.93,Yes,0.30,Aug 04 BMO,79.00%,3.26M,102.16,1.90,6.79%,4.73%,-2.02%,"3,184,082",1.22%
SHW,Materials,Sherwin-Williams Company,0.169828,241.5,S&P500,35.24,6.87,0.20%,258.80M,-6.59%,62.35B,22.07,10.96,0.28%,238.30M,7.33%,1.83B,2.51,2.77,79.00%,1.19%,-14.00%,20.29B,3.07,-5.20%,-0.11%,1.55,-14.56%,8.63,28.03,8.70%,291.82,-16.40%,1.56,155.44,14.06%,71.60%,214.22 - 354.15,-31.30%,2.40,58.00,11.80%,15.30%,-31.68%,1.09,0.99%,0.50,11.00%,41.80%,12.94%,8.64,61626,0.90,7.40%,10.80%,47.60,3.52% 3.03%,Yes,4.74,-6.90%,9.00%,1.08,243.04,Yes,3.85,Jul 27 BMO,32.20%,1.83M,241.94,2.50,-1.05%,-2.28%,-14.13%,"1,971,664",-0.45%
DG,Consumer Discretionary,Dollar General Corporation,0.163398,248.23,S&P500,25.47,9.75,0.30%,228.48M,0.25%,56.19B,19.74,12.59,-4.34%,226.27M,0.56%,2.27B,2.30,2.92,97.20%,1.81%,0.75%,34.57B,1.63,-4.20%,-0.12%,2.02,20.98%,26.09,9.52,8.70%,254.61,6.62%,1.48,167.45,11.07%,37.10%,183.25 - 262.20,5.34%,2.20,50.16,18.10%,24.50%,-5.25%,0.41,0.89%,0.10,9.30%,31.20%,35.57%,5.40,163000,1.00,4.20%,8.80%,56.49,1.89% 2.10%,Yes,0.81,-14.70%,6.60%,0.63,245.15,Yes,0.66,May 26 BMO,18.40%,2.03M,248.43,2.10,0.32%,5.85%,10.35%,"1,282,368",1.34%
CHTR,Communication Services,Charter Communications Inc. Class A,0.146991,432.57,S&P500 NDQ100,15.65,27.61,10.00%,170.69M,-11.04%,83.94B,11.97,36.09,-0.01%,152.87M,-6.84%,5.05B,0.51,6.84,59.90%,4.81%,-6.37%,52.36B,1.60,58.90%,0.00%,5.22,-22.98%,70.66,6.12,3.50%,606.51,-39.46%,12.51,34.53,30.92%,32.30%,407.75 - 825.62,-33.72%,-,9.92,8.90%,8.80%,-47.66%,1.00,-,0.40,12.20%,45.10%,5.97%,16.50,93700,0.40,5.40%,21.20%,33.34,3.72% 3.20%,Yes,7.90,68.00%,9.60%,1.62,435.58,Yes,7.52,Jul 29 BMO,0.00%,1.41M,432.10,2.50,-8.57%,-8.47%,-24.24%,"2,281,662",-0.80%
LRCX,Information Technology,Lam Research Corporation,0.196559,499.9,S&P500 NDQ100,15.65,31.99,0.20%,139.23M,7.87%,71.24B,13.43,37.27,-2.37%,137.62M,17.20%,4.54B,1.26,7.32,84.00%,1.23%,3.31%,16.74B,4.26,78.10%,0.45%,1.27,-9.87%,43.28,11.56,28.10%,595.36,-19.22%,30.59,16.36,12.39%,74.60%,375.87 - 731.85,-30.40%,6.00,25.68,38.80%,36.40%,-31.61%,1.33,1.20%,2.00,20.00%,45.90%,33.16%,20.34,14100,2.80,5.50%,31.20%,65.53,4.50% 4.24%,Yes,0.83,-1.50%,27.10%,1.85,484.94,Yes,0.83,Jul 27 AMC,17.40%,1.34M,500.51,2.10,15.98%,9.43%,-9.04%,"2,473,918",3.21%
NSC,Industrials,Norfolk Southern Corporation,0.170578,251.17,S&P500,20.29,12.38,0.10%,239.30M,3.32%,59.62B,16.81,14.94,-28.25%,238.04M,10.58%,3.03B,1.84,3.47,76.40%,1.38%,-5.52%,11.42B,5.22,54.50%,-0.06%,2.66,-6.89%,56.25,4.47,7.80%,268.13,-1.90%,6.62,37.95,11.04%,21.90%,217.00 - 299.20,-15.63%,4.96,38.12,16.60%,13.00%,-16.05%,1.33,1.97%,0.90,2.40%,52.90%,15.75%,5.69,18100,1.00,10.50%,39.60%,70.03,2.45% 2.24%,Yes,1.10,9.90%,26.60%,1.03,244.83,Yes,1.02,Jul 27 BMO,35.50%,1.24M,251.17,2.40,8.09%,7.87%,-4.86%,"1,279,384",2.59%
BSX,Health Care,Boston Scientific Corporation,0.171421,41.05,S&P500,78.19,0.53,0.30%,1.43B,7.69%,58.68B,20.49,2.00,-4.41%,1.43B,8.60%,754.00M,7.38,0.42,93.00%,1.13%,-3.93%,12.16B,4.83,946.40%,-0.01%,1.86,-5.04%,11.72,3.50,2.40%,48.30,-9.42%,0.23,180.57,10.60%,4.60%,34.98 - 47.49,-3.37%,-,63.31,22.20%,4.50%,-13.57%,0.83,-,0.80,7.20%,68.60%,17.35%,0.96,41000,1.20,10.00%,10.60%,69.53,2.37% 2.05%,Yes,0.56,-70.50%,6.20%,1.02,41.16,Yes,0.54,Jul 27 BMO,0.00%,8.61M,41.05,1.80,8.36%,7.19%,-1.32%,"8,806,633",-0.27%
FISV,Information Technology,Fiserv Inc.,0.179107,105.93,S&P500 NDQ100,41.31,2.56,0.50%,650.80M,5.82%,67.84B,14.25,7.41,87.69%,612.34M,16.26%,1.70B,2.67,1.56,92.80%,1.38%,0.90%,16.61B,4.08,41.70%,0.76%,2.57,5.38%,48.05,2.20,2.20%,121.85,-7.67%,4.40,24.02,15.49%,5.40%,87.03 - 119.86,1.82%,-,25.70,-0.90%,3.70%,-11.83%,0.84,-,1.00,24.10%,50.70%,21.43%,2.67,44000,1.00,10.20%,16.00%,72.52,3.16% 2.57%,Yes,0.67,127.70%,10.20%,0.87,105.68,Yes,0.66,Jul 26 BMO,0.00%,3.30M,105.68,2.00,10.22%,10.76%,5.79%,"2,881,444",0.00%
APD,Materials,Air Products and Chemicals Inc.,0.157798,247.34,S&P500,25.40,9.77,0.32%,222.00M,5.83%,55.06B,21.53,11.53,0.00%,221.06M,2.10%,2.17B,2.09,2.61,84.20%,0.94%,3.22%,11.39B,4.84,6.60%,0.50%,1.85,-10.01%,62.86,3.95,8.30%,282.71,-14.31%,14.42,17.22,12.13%,16.40%,216.24 - 316.39,-18.42%,6.48,-,12.60%,8.60%,-21.54%,0.82,2.61%,1.80,6.60%,28.10%,14.79%,5.22,20625,1.90,17.70%,20.00%,64.00,1.69% 1.98%,Yes,0.53,12.10%,19.60%,0.92,244.23,Yes,0.48,Aug 04 BMO,60.70%,1.13M,248.23,2.50,6.17%,3.48%,-5.26%,"1,032,779",1.64%
OXY,Energy,Occidental Petroleum Corporation,0.162476,65.85,S&P500,9.96,6.60,0.20%,936.70M,7.68%,62.57B,8.09,8.13,-,935.58M,11.25%,6.57B,0.42,3.02,83.20%,6.11%,15.29%,29.15B,2.15,113.30%,2.25%,2.05,76.46%,16.17,4.07,8.60%,75.36,145.52%,2.01,32.78,23.46%,60.40%,21.62 - 74.04,126.80%,0.52,6.65,29.10%,8.60%,-11.20%,1.93,0.79%,1.00,20.70%,64.90%,204.12%,3.00,11678,1.20,56.40%,25.00%,60.11,4.56% 4.17%,Yes,1.74,-,22.40%,0.70,62.64,Yes,1.71,Aug 02 AMC,2.30%,27.95M,65.75,2.40,8.51%,5.13%,38.65%,"19,501,234",4.96%
