,sector,name,weight,price,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Book/sh,P/B,ROA,Target Price,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range,Perf YTD,Dividend,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend %,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR,Employees,Current Ratio,Sales Q/Q,Oper. Margin,RSI (14),Volatility,Optionable,Debt/Eq,EPS Q/Q,Profit Margin,Rel Volume,Prev Close,Shortable,LT Debt/Eq,Earnings,Payout,Avg Volume,Price,Recom,SMA20,SMA50,SMA200,Volume,Change
NSC,Industrials,Norfolk Southern Corporation,0.174103,246.9,S&P 500,19.94,12.38,0.10%,239.30M,7.79%,58.60B,16.52,14.94,-28.25%,238.04M,11.37%,3.03B,1.81,3.47,76.40%,1.35%,-4.52%,11.42B,5.13,54.50%,-0.06%,2.54,-10.68%,56.25,4.39,7.80%,268.13,-6.94%,6.62,37.30,11.04%,21.90%,217.00 - 299.20,-17.07%,4.96,37.47,16.60%,13.00%,-17.48%,1.33,2.01%,0.90,2.40%,52.90%,13.78%,5.59,18100,1.00,10.50%,39.60%,69.25,2.17% 2.31%,Yes,1.10,9.90%,26.60%,0.79,243.10,Yes,1.02,Jul 27 BMO,35.50%,1.26M,246.90,2.40,7.82%,5.95%,-6.61%,"1,000,145",1.56%
BSX,Health Care,Boston Scientific Corporation,0.163197,38.0,S&P 500,72.38,0.53,0.30%,1.43B,2.23%,54.32B,18.97,2.00,-4.41%,1.43B,2.87%,754.00M,6.83,0.42,93.00%,1.15%,-13.44%,12.16B,4.47,946.40%,-0.01%,1.90,-11.57%,11.72,3.24,2.40%,48.30,-13.87%,0.23,167.15,10.60%,4.60%,34.98 - 47.49,-10.55%,-,58.60,22.20%,4.50%,-19.99%,0.83,-,0.80,7.20%,68.60%,8.63%,0.83,41000,1.20,10.00%,10.60%,52.17,1.73% 1.96%,Yes,0.56,-70.50%,6.20%,0.72,38.12,Yes,0.54,Jul 27 BMO,0.00%,8.66M,38.00,1.80,1.15%,-0.75%,-8.81%,"6,269,439",-0.31%
FISV,Information Technology,Fiserv Inc.,0.173991,98.0,S&P 500,38.33,2.56,0.50%,650.80M,4.34%,62.94B,13.22,7.41,88.13%,612.34M,9.27%,1.70B,2.47,1.56,92.80%,1.44%,0.71%,16.61B,3.79,41.70%,0.76%,2.70,-6.49%,48.05,2.04,2.20%,121.85,-12.29%,4.40,22.29,15.49%,5.40%,87.03 - 119.86,-5.53%,-,23.84,-0.90%,3.70%,-18.20%,0.84,-,1.00,24.10%,50.70%,12.66%,2.50,44000,1.00,10.20%,16.00%,59.45,2.17% 2.59%,Yes,0.67,127.70%,10.20%,1.06,99.87,Yes,0.66,Jul 26 BMO,0.00%,3.27M,98.05,2.00,4.53%,3.45%,-1.94%,"3,473,925",-1.82%
APD,Materials,Air Products and Chemicals Inc.,0.155785,235.21,S&P 500,24.06,9.77,0.32%,222.00M,5.21%,52.17B,20.40,11.53,0.00%,221.06M,-2.83%,2.17B,1.98,2.61,84.20%,1.31%,-3.17%,11.39B,4.58,6.60%,0.50%,2.51,-16.73%,62.86,3.74,8.30%,282.71,-18.97%,14.42,16.32,12.13%,16.40%,216.24 - 316.39,-22.69%,6.48,-,12.60%,8.60%,-25.66%,0.82,2.75%,1.80,6.60%,28.10%,8.77%,5.36,20625,1.90,17.70%,20.00%,49.78,1.41% 2.13%,Yes,0.53,12.10%,19.60%,0.50,234.56,Yes,0.48,Aug 04 BMO,60.70%,1.16M,235.21,2.50,-0.08%,-1.77%,-10.41%,"579,826",0.28%
OXY,Energy,Occidental Petroleum Corporation,0.162803,64.41,S&P 500,9.76,6.60,0.20%,936.70M,7.26%,61.29B,7.93,8.13,-,935.58M,14.83%,6.57B,0.42,3.02,83.20%,5.87%,13.76%,29.15B,2.10,113.30%,2.25%,1.93,90.84%,16.17,3.98,8.60%,75.36,142.33%,2.01,32.11,23.46%,60.40%,21.62 - 74.04,122.18%,0.52,6.52,29.10%,8.60%,-13.01%,1.93,0.81%,1.00,20.70%,64.90%,197.92%,3.02,11678,1.20,56.40%,25.00%,58.43,4.40% 4.34%,Yes,1.74,-,22.40%,0.69,61.06,Yes,1.71,Aug 02 AMC,2.30%,28.44M,64.41,2.40,7.60%,3.02%,37.57%,"19,502,519",5.49%
FDX,Industrials,FedEx Corporation,0.16231,228.17,S&P 500,15.81,14.44,5.60%,260.00M,4.67%,59.38B,9.10,25.08,-0.10%,239.79M,0.02%,3.82B,1.38,5.25,73.10%,1.59%,11.19%,93.51B,0.64,-22.10%,0.32%,1.52,-6.84%,95.92,2.38,4.50%,291.59,-23.19%,26.50,8.61,11.46%,15.50%,192.82 - 298.66,-11.78%,4.60,26.09,5.30%,11.40%,-23.60%,1.22,2.02%,1.40,9.20%,68.70%,18.33%,6.99,191000,1.40,8.10%,6.70%,54.15,2.06% 3.00%,Yes,0.81,-63.40%,4.10%,0.39,227.30,Yes,0.81,Jun 23 AMC,20.70%,2.51M,228.17,1.90,0.33%,3.42%,-0.49%,"970,971",0.38%
ICE,Financials,Intercontinental Exchange Inc.,0.166093,98.97,S&P 500,13.74,7.20,0.40%,561.00M,4.31%,55.45B,17.26,5.73,-7.68%,550.74M,2.37%,4.07B,2.11,1.27,91.50%,0.90%,-15.59%,9.20B,6.03,90.80%,0.06%,1.41,-21.23%,40.40,2.45,2.40%,123.83,-18.45%,1.14,86.92,6.52%,18.50%,90.05 - 139.79,-27.64%,1.52,25.25,24.60%,8.80%,-29.20%,0.90,1.54%,1.00,9.00%,78.80%,9.91%,2.35,9009,1.00,1.20%,53.80%,55.67,2.00% 2.13%,Yes,0.63,1.90%,44.20%,0.49,99.11,Yes,0.55,Aug 04 BMO,18.90%,3.51M,98.97,1.90,2.90%,1.85%,-18.23%,"1,707,287",-0.14%
ITW,Industrials,Illinois Tool Works Inc.,0.163405,191.5,S&P 500,22.51,8.51,0.20%,312.50M,6.22%,59.37B,19.72,9.71,-19.46%,310.46M,6.33%,2.69B,3.02,2.21,81.50%,2.03%,-5.83%,14.85B,4.00,28.50%,0.21%,5.42,-19.35%,11.46,16.71,16.90%,193.50,-15.41%,4.18,45.81,7.46%,75.50%,173.52 - 249.81,-22.41%,4.88,122.41,8.40%,25.20%,-23.34%,1.10,2.55%,1.20,1.20%,40.70%,10.36%,4.25,45000,1.70,11.10%,23.30%,57.42,1.77% 2.18%,Yes,2.19,0.00%,18.10%,0.50,191.56,Yes,1.90,Aug 02 BMO,55.20%,1.16M,191.50,2.90,4.19%,-0.84%,-11.52%,"579,660",-0.03%
MRNA,Health Care,Moderna Inc.,0.169464,165.43,S&P 500,4.87,34.01,5.30%,402.00M,1.40%,68.07B,19.13,8.66,-7.93%,360.33M,15.66%,14.64B,-,4.55,64.20%,3.96%,18.06%,22.60B,3.01,-1.90%,0.12%,2.45,3.51%,42.48,3.90,65.50%,220.67,-52.50%,24.62,6.73,-,121.90%,115.61 - 497.49,-34.76%,-,5.22,111.10%,81.90%,-66.69%,1.65,-,1.60,179.40%,84.80%,43.32%,9.43,2700,1.80,213.20%,71.90%,57.23,4.90% 6.22%,Yes,0.05,202.30%,64.80%,0.43,163.52,Yes,0.04,Aug 03 BMO,0.00%,5.82M,165.69,2.50,3.31%,14.02%,-16.11%,"2,479,619",1.33%
GD,Industrials,General Dynamics Corporation,0.148899,218.8,S&P 500,18.74,11.68,0.60%,277.07M,4.29%,60.80B,15.55,14.07,-0.78%,260.92M,1.02%,3.28B,1.59,2.72,86.60%,1.49%,-8.37%,38.47B,1.58,5.00%,0.08%,2.79,5.94%,65.02,3.37,6.40%,268.00,14.04%,10.46,20.91,11.75%,19.70%,188.64 - 254.99,4.96%,5.04,15.18,6.00%,12.00%,-14.19%,0.88,2.30%,1.10,4.70%,16.80%,15.99%,4.99,103100,1.50,0.00%,10.70%,51.10,1.99% 2.25%,Yes,0.64,5.00%,8.50%,0.53,216.76,Yes,0.58,Jul 27 BMO,30.30%,1.39M,218.80,2.10,0.50%,-0.85%,0.34%,"743,790",0.94%
PXD,Energy,Pioneer Natural Resources Company,0.141629,221.57,S&P 500,13.52,16.39,0.40%,243.00M,5.01%,54.50B,7.67,28.89,-12.69%,240.58M,-0.94%,4.19B,0.64,8.75,92.50%,2.18%,-3.95%,20.95B,2.60,810.30%,0.42%,1.90,11.15%,97.40,2.27,11.30%,294.67,66.45%,13.24,16.74,21.21%,18.20%,128.98 - 288.46,26.44%,16.87,9.81,35.50%,18.20%,-23.19%,1.54,7.61%,1.40,38.50%,53.90%,71.78%,10.06,1932,1.50,100.60%,38.80%,48.43,3.71% 3.71%,Yes,0.24,1674.40%,20.00%,0.77,209.80,Yes,0.23,Aug 08 AMC,40.70%,2.76M,221.57,2.00,2.19%,-9.17%,3.07%,"2,122,477",5.61%
ETN,Industrials,Eaton Corp. Plc,0.162097,137.1,S&P 500,24.84,5.52,0.20%,399.20M,8.05%,54.98B,16.55,8.29,-2.89%,397.78M,8.05%,2.22B,2.51,1.82,84.10%,1.20%,-6.12%,19.78B,2.78,53.00%,0.27%,2.32,-14.60%,41.63,3.29,6.30%,157.30,-12.52%,1.26,108.87,9.90%,13.80%,122.50 - 175.72,-20.67%,3.24,387.18,4.90%,9.20%,-21.98%,1.16,2.36%,0.60,-0.10%,32.40%,11.92%,3.43,85947,1.00,3.20%,15.70%,61.06,2.34% 2.48%,Yes,0.58,15.90%,11.20%,0.46,136.65,Yes,0.41,Aug 02 BMO,55.60%,2.06M,137.10,2.10,5.97%,2.70%,-10.03%,"949,564",0.33%
CNC,Health Care,Centene Corporation,0.159286,91.93,S&P 500,36.47,2.52,0.50%,583.23M,2.46%,53.51B,14.61,6.29,-0.29%,579.41M,9.91%,1.50B,3.14,1.59,96.20%,1.49%,8.91%,133.18B,0.40,-26.90%,0.21%,2.89,19.17%,46.58,1.97,1.90%,98.44,25.14%,19.30,4.76,11.63%,5.60%,59.67 - 91.62,11.57%,-,12.31,6.00%,3.40%,0.34%,0.49,-,-,25.40%,-,54.06%,2.38,72500,-,24.00%,1.70%,66.60,2.31% 2.58%,Yes,0.70,21.20%,1.10%,1.14,90.94,Yes,0.69,Jul 26 BMO,0.00%,2.99M,91.93,2.00,5.72%,9.68%,14.53%,"3,419,131",1.09%
SLB,Energy,Schlumberger NV,0.148448,36.17,S&P 500,24.74,1.46,0.20%,1.41B,9.18%,49.03B,13.44,2.69,-4.92%,1.41B,3.40%,2.09B,0.59,0.52,81.00%,1.58%,-13.16%,23.67B,2.07,117.40%,0.16%,1.58,-0.52%,10.87,3.33,4.50%,49.03,27.31%,1.95,18.51,42.10%,13.30%,25.90 - 49.83,20.77%,0.70,17.44,25.10%,7.90%,-27.41%,1.89,1.94%,0.90,-3.80%,16.40%,39.68%,1.84,92000,1.20,14.10%,11.70%,51.49,3.87% 4.07%,Yes,0.92,68.80%,7.90%,0.92,35.07,Yes,0.86,Jul 22 BMO,37.20%,14.16M,36.17,-,6.00%,-8.64%,-2.81%,"13,059,937",3.14%
AEP,Utilities,American Electric Power Company Inc.,0.145103,95.59,S&P 500,18.38,5.21,0.10%,513.54M,2.60%,48.38B,18.11,5.29,-11.89%,513.02M,3.67%,2.63B,2.96,1.19,74.90%,1.78%,-4.44%,17.10B,2.83,14.60%,-0.16%,3.26,6.48%,47.12,2.03,3.00%,106.29,11.42%,1.75,54.73,6.21%,11.70%,80.22 - 104.81,7.68%,3.12,12.24,31.80%,5.60%,-8.60%,0.34,3.26%,0.50,0.50%,68.40%,19.42%,1.93,16688,0.60,7.30%,21.00%,54.04,1.41% 1.94%,Yes,1.56,22.00%,15.40%,0.94,94.35,Yes,1.29,Jul 27 BMO,58.20%,2.79M,95.80,2.20,1.39%,-0.86%,4.27%,"2,623,483",1.54%
NEM,Materials,Newmont Corporation,0.122218,44.59,S&P 500,35.56,1.25,0.10%,793.00M,-18.65%,35.87B,14.35,3.11,-15.57%,792.43M,-29.06%,1.00B,-,0.64,83.50%,1.39%,-40.16%,12.37B,2.90,-58.10%,0.17%,1.70,-29.32%,27.05,1.65,2.60%,73.13,-25.82%,5.40,8.26,-,4.70%,50.83 - 86.37,-28.10%,2.20,52.06,39.30%,0.50%,-48.37%,0.37,4.93%,2.20,12.80%,54.60%,-12.28%,2.44,14400,2.90,5.30%,9.60%,13.17,5.49% 3.84%,Yes,0.29,-18.90%,8.50%,5.65,51.39,Yes,0.28,Jul 25 BMO,166.40%,6.48M,44.59,2.70,-23.26%,-29.24%,-30.84%,"36,635,066",-13.23%
PSA,Real Estate,Public Storage,0.146041,323.92,S&P 500,31.48,10.29,8.30%,175.17M,4.84%,56.85B,28.04,11.55,-0.03%,151.60M,5.11%,1.81B,1.85,2.52,80.90%,1.69%,-19.49%,3.62B,15.70,56.90%,0.11%,3.35,-8.33%,30.53,10.61,11.20%,370.73,3.22%,5.36,60.44,17.00%,35.40%,292.32 - 421.76,-13.52%,8.00,61.23,7.70%,13.20%,-23.20%,0.33,2.47%,-,5.90%,73.70%,10.81%,7.24,5800,-,26.90%,49.00%,59.61,2.03% 2.17%,Yes,1.39,19.30%,50.00%,0.81,319.33,Yes,1.39,Aug 04 AMC,77.30%,763.78K,323.92,2.20,3.33%,2.90%,-6.33%,"617,741",1.44%
SRE,Utilities,Sempra Energy,0.145177,158.27,S&P 500,50.05,3.16,0.04%,316.35M,5.97%,49.50B,17.61,8.99,-22.38%,314.10M,8.14%,992.00M,7.33,1.75,90.80%,1.11%,-5.93%,13.42B,3.69,-38.80%,-0.00%,2.17,17.32%,79.74,1.98,1.40%,171.25,21.08%,8.05,19.65,6.83%,4.00%,119.56 - 173.28,19.65%,4.58,29.95,-6.00%,2.30%,-8.66%,0.65,2.89%,0.70,4.70%,-,32.38%,3.54,15390,0.70,17.20%,8.40%,64.04,2.06% 2.23%,Yes,1.07,-32.00%,7.40%,0.88,154.24,Yes,0.97,Aug 04 BMO,138.60%,1.61M,158.27,2.30,5.60%,2.65%,9.74%,"1,408,481",2.61%
MCK,Health Care,McKesson Corporation,0.143852,336.2,S&P 500,46.41,7.24,0.10%,147.20M,3.12%,47.89B,13.17,25.52,-48.53%,143.47M,6.85%,1.12B,3.41,5.27,92.50%,1.66%,5.66%,263.97B,0.18,125.70%,-0.17%,2.09,36.32%,-15.43,-,1.80%,369.92,65.92%,24.80,13.56,13.59%,-95.90%,192.38 - 339.94,35.25%,1.88,14.83,-20.80%,33.60%,-1.10%,0.62,0.56%,0.60,5.90%,5.00%,74.76%,7.77,58000,1.00,11.80%,0.70%,61.82,2.09% 2.48%,Yes,-,-40.80%,0.40%,1.17,330.44,Yes,-,Aug 03 AMC,24.40%,1.14M,336.20,2.00,3.00%,4.29%,22.13%,"1,330,220",1.74%
EMR,Industrials,Emerson Electric Co.,0.147824,84.19,S&P 500,17.59,4.79,0.10%,593.30M,6.09%,50.37B,15.38,5.47,-0.76%,589.63M,8.23%,2.87B,1.54,1.30,76.10%,0.83%,-10.05%,18.91B,2.66,18.10%,-0.01%,1.62,-9.67%,17.82,4.72,10.90%,100.50,-14.51%,11.58,7.27,11.44%,28.70%,76.16 - 105.99,-9.44%,2.06,44.81,9.30%,15.00%,-20.57%,1.40,2.45%,1.40,4.70%,41.00%,10.55%,2.05,86700,1.70,8.10%,17.40%,57.62,2.05% 2.21%,Yes,1.04,21.40%,15.20%,0.68,83.10,Yes,0.78,Aug 09 BMO,42.40%,3.00M,84.19,2.20,4.38%,0.92%,-7.91%,"2,029,665",1.31%
GM,Consumer Discretionary,General Motors Company,0.151381,34.52,S&P 500,5.73,6.02,0.20%,1.46B,5.82%,51.01B,5.27,6.55,-0.22%,1.39B,4.64%,8.85B,1.98,1.30,83.20%,2.16%,-13.35%,130.51B,0.39,54.70%,0.03%,1.78,-35.21%,42.59,0.81,3.60%,54.21,-37.17%,17.77,1.94,2.90%,15.50%,30.33 - 67.21,-41.12%,-,6.75,2.20%,3.90%,-48.64%,1.28,-,0.90,-3.20%,13.40%,13.81%,1.37,157000,1.10,10.80%,6.30%,54.14,2.90% 4.01%,Yes,1.77,-33.50%,6.80%,0.87,34.67,Yes,1.24,Jul 26 BMO,0.00%,16.87M,34.52,1.90,4.67%,-0.62%,-27.25%,"14,735,484",-0.43%
LHX,Industrials,L3Harris Technologies Inc,0.130036,226.3,S&P 500,24.38,9.28,0.30%,193.20M,2.81%,43.45B,15.38,14.71,-3.31%,192.14M,-0.92%,1.85B,3.93,3.17,84.00%,1.30%,-8.71%,17.35B,2.50,75.10%,0.18%,2.51,2.51%,99.69,2.27,5.30%,279.12,-0.42%,2.09,108.07,6.20%,9.50%,200.71 - 279.71,6.12%,4.48,47.95,12.50%,6.20%,-19.09%,0.68,1.98%,1.10,24.70%,30.20%,12.75%,5.83,47000,1.30,-10.20%,12.10%,44.64,2.11% 2.46%,Yes,0.37,8.20%,10.70%,0.56,225.13,Yes,0.35,Jul 28 AMC,44.60%,992.87K,226.30,-,-2.44%,-3.40%,-2.42%,"551,786",0.52%
SNPS,Information Technology,Synopsys Inc.,0.154928,336.53,S&P 500,52.56,6.42,0.40%,153.09M,8.77%,51.75B,34.99,9.65,-29.28%,152.08M,9.19%,1.01B,2.68,1.99,92.40%,1.05%,18.48%,4.76B,10.87,12.80%,0.42%,1.69,11.33%,36.35,9.29,11.40%,383.63,18.45%,11.23,30.08,19.60%,18.90%,255.02 - 377.60,-8.37%,-,32.73,22.80%,12.70%,-10.57%,1.18,-,1.20,11.70%,80.00%,32.41%,9.58,16361,1.20,24.90%,23.20%,65.01,2.41% 2.82%,Yes,0.00,52.00%,21.20%,0.85,338.04,Yes,0.00,May 18 AMC,0.00%,946.43K,337.67,1.90,7.56%,10.13%,6.37%,"803,147",-0.11%
KMB,Consumer Staples,Kimberly-Clark Corporation,0.132685,133.42,S&P 500,25.76,5.18,0.10%,337.00M,1.02%,44.32B,19.91,6.70,-17.53%,336.37M,1.01%,1.75B,4.55,1.31,76.90%,2.09%,-3.67%,19.79B,2.24,-22.00%,0.11%,3.92,-6.91%,2.09,63.84,9.70%,131.35,-1.65%,1.48,89.91,5.66%,316.30%,117.32 - 145.79,-6.65%,4.64,402.95,-2.20%,22.00%,-8.48%,0.33,3.48%,0.50,1.20%,30.60%,13.72%,2.38,45000,0.80,7.40%,12.20%,52.08,1.41% 1.49%,Yes,13.23,-10.10%,8.90%,0.80,132.40,Yes,11.86,Jul 26 BMO,87.70%,1.79M,133.42,3.20,-0.59%,0.97%,0.38%,"1,431,033",0.77%
MPC,Energy,Marathon Petroleum Corporation,0.138762,88.8,S&P 500,20.61,4.31,0.20%,564.00M,4.19%,48.49B,9.26,9.59,-22.49%,539.38M,4.93%,2.61B,0.72,7.84,79.60%,2.93%,1.98%,136.44B,0.36,111.90%,-0.21%,2.32,25.60%,42.50,2.09,12.00%,119.29,66.20%,19.41,4.58,28.81%,40.30%,52.64 - 114.35,38.77%,2.32,14.57,-1.80%,7.50%,-22.34%,1.77,2.61%,1.10,13.80%,9.10%,68.69%,4.00,17700,1.40,67.80%,4.20%,52.21,3.47% 3.98%,Yes,1.11,303.50%,7.90%,0.47,85.65,Yes,1.07,Aug 02 BMO,13.70%,6.80M,88.80,1.80,5.17%,-4.84%,13.17%,"3,199,399",3.68%
GIS,Consumer Staples,General Mills Inc.,0.132829,74.25,S&P 500,16.79,4.42,0.20%,604.20M,0.41%,44.02B,17.53,4.24,-9.49%,596.22M,7.64%,2.71B,3.48,0.98,78.50%,2.22%,2.41%,18.99B,2.32,16.90%,0.09%,3.46,7.56%,17.45,4.26,8.50%,73.78,25.00%,0.96,77.31,4.82%,27.40%,56.67 - 76.94,10.20%,2.16,29.29,9.80%,13.50%,-3.50%,0.34,2.91%,0.40,4.00%,33.70%,31.02%,1.41,32500,0.60,8.10%,18.90%,55.93,1.52% 1.84%,Yes,1.10,99.90%,14.30%,0.64,73.63,Yes,0.87,Jun 29 BMO,45.80%,3.82M,74.25,2.90,-0.10%,4.50%,9.94%,"2,431,649",0.84%
EXC,Utilities,Exelon Corporation,0.128087,44.39,S&P 500,17.60,2.52,0.10%,981.00M,1.51%,42.79B,18.39,2.42,-5.12%,977.96M,5.19%,2.48B,1.10,0.46,84.40%,1.40%,-8.69%,31.78B,1.35,-13.40%,0.16%,2.14,9.73%,23.95,1.85,2.10%,48.59,33.91%,2.57,17.28,16.00%,8.40%,32.87 - 50.71,7.85%,1.35,-,7.60%,3.10%,-12.40%,0.47,3.04%,0.90,3.00%,60.20%,35.16%,1.04,31518,0.90,15.00%,11.80%,51.05,1.67% 2.37%,Yes,1.68,-4.40%,8.20%,0.56,44.02,Yes,1.51,Aug 03 BMO,56.10%,6.40M,44.42,2.30,0.75%,-2.30%,4.41%,"3,554,718",0.91%
KLAC,Information Technology,KLA Corporation,0.159736,350.39,S&P 500,17.01,20.61,0.30%,150.15M,6.41%,53.28B,14.87,23.58,-0.96%,148.97M,9.34%,3.15B,1.07,5.50,92.10%,5.67%,8.12%,8.65B,6.16,73.60%,0.12%,5.77,-6.01%,27.18,12.90,27.90%,404.55,9.30%,16.96,20.67,15.88%,82.00%,282.83 - 457.12,-18.49%,4.20,26.00,24.40%,32.30%,-23.30%,1.30,1.20%,1.60,18.30%,62.30%,23.96%,13.11,11300,2.30,26.90%,39.30%,59.81,3.18% 3.85%,Yes,0.91,32.10%,36.40%,0.67,354.02,Yes,0.91,Jul 28 AMC,19.50%,1.46M,350.60,2.00,7.96%,5.21%,-3.40%,"985,317",-0.97%
F,Consumer Discretionary,Ford Motor Company,0.150608,12.84,S&P 500,4.51,2.85,0.20%,4.01B,7.36%,52.34B,6.29,2.04,0.70%,3.94B,11.07%,11.56B,0.54,0.45,53.80%,3.01%,-15.14%,134.59B,0.39,22.60%,-0.01%,1.96,-37.82%,11.22,1.14,4.60%,15.88,-7.09%,10.11,1.27,8.33%,28.10%,10.61 - 25.87,-38.18%,0.40,16.47,31.10%,1.60%,-50.37%,1.25,3.12%,1.00,-2.10%,11.30%,21.02%,0.47,183000,1.20,-4.80%,1.30%,59.97,3.15% 3.61%,Yes,3.01,-195.50%,8.60%,0.60,12.82,Yes,1.94,Jul 27 AMC,6.90%,60.67M,12.84,2.80,8.77%,3.73%,-23.13%,"36,498,891",0.16%
MCO,Financials,Moody's Corporation,0.142391,290.58,S&P 500,27.53,10.55,0.10%,185.10M,3.46%,53.70B,24.25,11.98,-9.58%,184.00M,7.62%,1.98B,5.19,2.32,94.00%,1.72%,-9.88%,6.14B,8.75,25.40%,0.08%,3.10,-15.00%,12.93,22.47,14.00%,310.93,-23.90%,10.03,28.98,5.30%,81.20%,251.01 - 407.94,-25.60%,2.80,47.19,53.90%,22.70%,-28.77%,1.19,0.96%,1.40,11.50%,72.90%,15.76%,6.77,13913,1.40,-4.90%,43.10%,57.65,2.05% 2.22%,Yes,3.25,-31.40%,32.20%,1.13,295.46,Yes,3.04,Jul 26 BMO,24.10%,1.02M,290.58,2.20,3.39%,3.34%,-13.61%,"1,158,365",-1.65%
MET,Financials,MetLife Inc.,0.125962,61.63,S&P 500,7.99,7.71,0.20%,823.80M,4.28%,50.33B,7.51,8.21,-3.36%,685.11M,0.49%,6.67B,1.91,1.47,76.00%,1.29%,-11.40%,71.27B,0.71,28.60%,0.24%,1.90,-6.07%,65.51,0.94,0.90%,75.47,6.94%,28.76,2.14,4.18%,10.30%,56.69 - 73.18,-1.38%,2.00,4.41,18.40%,8.80%,-15.78%,1.10,3.25%,-,3.10%,-,8.71%,1.68,43000,-,1.20%,13.30%,48.90,2.27% 2.47%,Yes,0.32,124.50%,9.40%,0.61,60.85,Yes,0.32,Aug 03 AMC,24.70%,4.64M,61.63,1.90,-0.18%,-2.49%,-5.48%,"2,832,277",1.28%
VLO,Energy,Valero Energy Corporation,0.126552,109.32,S&P 500,17.60,6.21,0.40%,408.00M,2.83%,44.67B,8.25,13.24,-1.08%,406.54M,4.58%,2.53B,0.34,9.42,80.50%,2.37%,6.08%,131.71B,0.34,164.80%,-0.04%,1.66,37.87%,46.13,2.37,4.40%,138.20,71.59%,6.46,16.93,51.37%,14.00%,58.85 - 146.80,45.55%,3.92,9.31,-14.30%,5.80%,-25.53%,1.75,3.59%,0.80,8.50%,3.90%,85.76%,5.99,9813,1.20,85.20%,3.20%,49.08,3.95% 4.68%,Yes,0.70,227.60%,1.90%,0.64,104.02,Yes,0.63,Jul 28 BMO,63.10%,5.82M,109.32,1.80,2.79%,-8.25%,16.05%,"3,733,555",5.10%
SYY,Consumer Staples,Sysco Corporation,0.131545,87.86,S&P 500,45.22,1.94,0.10%,508.37M,1.75%,44.79B,20.46,4.29,-31.59%,506.46M,8.70%,999.90M,0.87,1.11,85.90%,2.21%,-1.06%,65.82B,0.68,143.50%,0.04%,4.77,13.50%,2.60,33.79,4.60%,95.27,20.57%,1.72,51.13,52.13%,69.30%,68.05 - 91.53,11.85%,1.96,-,-9.10%,10.90%,-4.01%,1.05,2.23%,0.70,0.40%,17.90%,29.11%,1.87,58000,1.20,42.90%,3.30%,59.43,1.67% 2.14%,Yes,8.41,242.70%,1.50%,0.63,86.86,Yes,8.03,Aug 09 BMO,95.10%,2.35M,87.86,2.30,1.91%,5.16%,8.57%,"1,492,699",1.15%
ADM,Consumer Staples,Archer-Daniels-Midland Company,0.124429,75.62,S&P 500,13.96,5.42,0.40%,566.00M,4.23%,42.66B,12.81,5.90,-20.57%,559.96M,5.39%,3.07B,1.84,1.72,81.50%,1.26%,-17.96%,90.01B,0.47,52.50%,-0.05%,1.91,9.69%,41.91,1.80,5.50%,93.46,30.36%,1.91,39.53,7.60%,13.70%,57.29 - 98.88,11.88%,1.60,14.09,17.20%,6.60%,-23.52%,0.78,2.12%,0.80,6.50%,7.00%,32.00%,2.23,41000,1.40,25.20%,3.40%,48.89,2.07% 2.73%,Yes,0.55,51.90%,3.40%,0.73,73.84,Yes,0.37,Jul 26 BMO,27.70%,3.69M,75.62,2.30,2.13%,-6.12%,-1.13%,"2,705,136",2.41%
AZO,Consumer Discretionary,AutoZone Inc.,0.127664,2144.87,S&P 500,18.95,113.17,0.10%,19.80M,-2.14%,41.63B,17.01,126.10,-35.49%,19.41M,1.72%,2.41B,2.08,38.48,97.30%,2.35%,-0.71%,15.82B,2.63,32.30%,-0.06%,2.35,10.44%,-171.09,-,16.70%,2230.11,31.42%,13.55,158.30,9.10%,-92.10%,1503.30 - 2267.40,2.31%,-,15.68,18.50%,63.10%,-5.40%,0.81,-,0.10,6.60%,52.40%,42.68%,52.36,62000,0.80,5.90%,20.30%,50.73,2.22% 2.46%,Yes,-,9.60%,15.20%,0.61,2147.62,Yes,-,May 24 BMO,0.00%,193.58K,2144.87,2.20,-1.03%,3.60%,8.47%,"117,706",-0.13%
FCX,Materials,Freeport-McMoRan Inc.,0.121317,28.29,S&P 500,9.77,2.90,0.40%,1.46B,3.17%,42.70B,12.53,2.26,-2.59%,1.44B,-4.06%,4.30B,-,0.55,80.10%,1.78%,-32.31%,22.84B,1.87,611.10%,0.07%,1.17,-30.68%,10.22,2.77,9.10%,39.65,-19.12%,5.52,5.12,-,31.70%,24.80 - 51.76,-31.79%,0.30,5.79,24.40%,25.90%,-45.35%,2.03,1.06%,1.70,9.00%,38.60%,14.07%,1.57,24700,2.40,36.10%,36.60%,43.04,5.01% 4.47%,Yes,0.65,113.80%,18.80%,0.74,27.76,Yes,0.56,Jul 21 BMO,12.80%,21.84M,28.29,2.20,0.31%,-16.03%,-28.74%,"16,231,155",1.91%
